gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,99.0,0.29400719762165534,0.01705613941295384,-0.11466972193007029,-0.0788226261851473
-0.2,0.0,0.25688576964397125,0.009380863039399757,-0.04413676838966709,-0.02849151112152327
-0.2,1.0,0.31683284457477995,0.05707421007298629,-0.07583417645434075,-0.05713791465153953
-0.2,2.0,0.1613980245916902,-0.04005850329081024,-0.13100446103926358,-0.05057697294271766
-0.2,3.0,0.23992399239923992,0.014999999999999902,-0.07588718536759544,0.022461473343183068
-0.2,4.0,0.2996454455067877,0.03242592010950826,-0.06876050355424068,0.006742489247452032
-0.2,5.0,0.2487980769230769,0.007237848744434034,-0.051484497143092216,-0.034724261786500996
-0.2,6.0,0.2649586539242833,0.022376269496608148,-0.10786770858641653,-0.07892269788291714
-0.2,7.0,0.2655709762673523,-0.04023405266184887,-0.10893196458188069,-0.08844183399381564
-0.2,8.0,0.24748941781993813,-0.005157055789967267,-0.08723916484500636,-0.07457283399883692
-0.2,9.0,0.28747216688151894,-0.025775742905572493,-0.13679433407728914,-0.10826940609361414
-0.2,10.0,0.2815559195755673,0.047319883915552814,-0.15734919974918374,-0.09611454054564855
-0.2,11.0,0.2897158863545419,0.023235719518379976,-0.11220053474666196,-0.04542259433149049
-0.2,12.0,0.2448300867695233,-0.04023405266184887,-0.12658098501700443,-0.056876082431209556
-0.2,13.0,0.24431988789910938,-0.05269902590958585,-0.11023522331252207,-0.07089680921922552
-0.2,14.0,0.24744238230739538,-0.020312470694150053,-0.15241614096854048,-0.13514179179979316
-0.2,15.0,0.2866874924718938,0.014993843711523337,-0.07517441175626687,-0.040492680570840114
-0.2,16.0,0.23482783626315915,-0.03751459004892268,-0.10391536498465676,-0.07729303609293595
-0.2,17.0,0.22744085094015007,-0.010006312539453366,-0.09524623670384207,-0.08681614918498781
-0.2,18.0,0.2374416166237725,-0.005509038950968863,-0.1170848460747221,-0.06547397897333447
-0.2,19.0,0.21115773558445528,0.013421474358974438,-0.07016999323814896,-0.008073345058652029
-0.2,20.0,0.2770018090590547,0.012239169405671036,-0.1367555877840179,-0.07338906295735478
-0.2,21.0,0.26834921291163183,0.024262098211772335,-0.07676057213488119,-0.03762682404148838
-0.2,22.0,0.26747138560100014,0.012313265476754315,-0.060522401676058685,-0.06734093440707899
