gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,77.0,174.0,1.0,0.5733792170184572,11.0,9.0,0.5058463391484656,0.43379313191540825,2.0,0.0,0.0,0.0
-0.7,77.0,175.0,0.0,0.0639245298874409,6.0,5.0,0.4109703694632499,0.2991673043788143,2.0,1.0,0.0,0.0
-0.7,77.0,176.0,0.0,0.5133791945580811,13.0,11.0,0.6103278509117095,0.5730386599981058,3.0,0.0,1.0,2.0
-0.7,77.0,177.0,0.0,0.5664016433373245,2.0,6.0,0.08511601018612149,0.3217596043932678,1.0,2.0,0.0,3.0
-0.7,77.0,178.0,1.0,0.8925463510161467,17.0,9.0,1.0,0.4766966521786185,5.0,0.0,3.0,0.0
-0.7,77.0,179.0,0.0,0.9102146349899559,8.0,8.0,0.46788409187832075,0.39761820414730525,0.0,0.0,1.0,1.0
-0.7,77.0,180.0,1.0,0.41538937764840245,10.0,8.0,0.5060472734410114,0.34608428514493866,3.0,0.0,0.0,1.0
-0.7,77.0,181.0,0.0,0.7456431214989812,10.0,4.0,0.5442127071529592,0.22407424494009023,4.0,0.0,2.0,0.0
-0.7,77.0,182.0,0.0,0.23052348003300838,11.0,11.0,0.6925020565251735,0.6831116320364287,4.0,1.0,0.0,3.0
-0.7,77.0,183.0,1.0,0.025282557996957333,3.0,10.0,0.13818204697329847,0.6293129675042216,2.0,3.0,0.0,6.0
-0.7,77.0,184.0,0.0,0.10319802282040824,2.0,5.0,0.10524276828430482,0.21795335699028884,1.0,2.0,0.0,2.0
-0.7,77.0,185.0,1.0,0.535298788925561,7.0,4.0,0.30552139664090827,0.19989898897204061,2.0,0.0,1.0,0.0
-0.7,77.0,186.0,1.0,0.8808692625531579,8.0,7.0,0.4080848376257915,0.46324602649455876,3.0,0.0,2.0,4.0
-0.7,77.0,187.0,0.0,0.3259854718377846,1.0,2.0,0.06714018115563916,0.10080567137437625,1.0,0.0,0.0,2.0
-0.7,77.0,188.0,1.0,0.4711424703152506,1.0,7.0,0.04922315857659812,0.360989635523415,1.0,3.0,0.0,4.0
-0.7,77.0,189.0,0.0,0.544206423256433,7.0,6.0,0.38166897180090603,0.2993124596935907,2.0,0.0,0.0,1.0
-0.7,77.0,190.0,1.0,0.5446784491746861,11.0,6.0,0.48939811718039744,0.26075756024891666,3.0,0.0,2.0,0.0
-0.7,77.0,191.0,1.0,0.9501474405487912,9.0,6.0,0.5432835402602801,0.39489244242676014,3.0,0.0,1.0,1.0
-0.7,77.0,192.0,1.0,0.36478157570022396,4.0,10.0,0.2036090983535365,0.5752402059019522,2.0,5.0,0.0,3.0
-0.7,77.0,193.0,0.0,0.5975182366105984,1.0,3.0,0.051244745311789096,0.15515978739757835,1.0,1.0,0.0,2.0
-0.7,77.0,194.0,1.0,0.6236445470671539,14.0,8.0,0.8251482344836486,0.39335465507743383,5.0,0.0,2.0,1.0
