gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0.0,53.0,0.0,0.736968937246244,11.0,9.0,0.5479098983754305,0.43507988891004845,0.39531247835121897,2.0,0.0,1.0,1.0
-0.2,0.0,54.0,0.0,0.9863715567586232,12.0,7.0,0.5681761086186334,0.3842833073105781,0.21449656982585483,2.0,0.0,5.0,2.0
-0.2,0.0,55.0,1.0,0.11121994451872386,5.0,10.0,0.19848662711741183,0.42513623612536766,0.731420345500012,2.0,0.0,0.0,7.0
-0.2,0.0,56.0,0.0,0.6468239565751787,10.0,7.0,0.43099551081443255,0.3816639320230836,0.20205301250016836,1.0,0.0,2.0,0.0
-0.2,0.0,57.0,0.0,0.06255886288393109,3.0,6.0,0.12946106791018497,0.26054264876179617,0.6150945227198324,1.0,1.0,0.0,3.0
-0.2,0.0,58.0,1.0,0.6478728079869204,18.0,13.0,1.0,0.7101602608297598,0.15725056571003496,5.0,0.0,6.0,6.0
-0.2,0.0,59.0,1.0,0.2732694254235094,4.0,7.0,0.216772725768734,0.42290328171227826,0.3890557849891089,2.0,1.0,1.0,5.0
-0.2,0.0,60.0,0.0,0.33857803618052784,12.0,9.0,0.6610542314789913,0.4657895428131609,0.06382304432580903,1.0,0.0,3.0,1.0
-0.2,0.0,61.0,0.0,0.625724652002558,10.0,1.0,0.5092498426687088,0.056037298018265416,0.0556451976800781,3.0,0.0,6.0,0.0
-0.2,0.0,62.0,0.0,0.21829335810038197,6.0,8.0,0.33139050614205323,0.39310121465893866,0.4384058668987254,1.0,1.0,1.0,3.0
-0.2,0.0,63.0,0.0,0.09412486399928532,3.0,8.0,0.19689081593719052,0.4078893489117948,0.6949090675350611,0.0,0.0,0.0,5.0
-0.2,0.0,64.0,1.0,0.7303470159981112,6.0,6.0,0.27821888106383735,0.2630102778145889,0.3515200774196879,1.0,1.0,1.0,1.0
-0.2,0.0,65.0,0.0,0.44161485599941885,2.0,7.0,0.09990719232053064,0.3685927700233088,0.5684143886781676,2.0,3.0,0.0,4.0
-0.2,0.0,66.0,1.0,0.14534807076532186,3.0,8.0,0.16211661027998672,0.357241791929459,0.6881460603751696,2.0,4.0,0.0,3.0
