gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,59.0,181.0,1.0,0.3390011560073488,16.0,13.0,0.7970050210306582,0.7676394531001208,4.0,1.0,1.0,1.0
-0.4,59.0,182.0,0.0,0.8790015371678271,6.0,8.0,0.3508391531271305,0.4177363122024001,0.0,0.0,1.0,3.0
-0.4,59.0,183.0,1.0,0.5846887809793526,11.0,8.0,0.5472385574023615,0.43029469859057395,2.0,0.0,1.0,0.0
-0.4,59.0,184.0,1.0,0.45004197150663183,14.0,10.0,0.6268349486494237,0.5189944441096102,4.0,0.0,1.0,1.0
-0.4,59.0,185.0,1.0,0.4980502301625709,13.0,7.0,0.6280220084332946,0.36097410307784744,4.0,0.0,3.0,1.0
-0.4,59.0,186.0,1.0,0.9291978954433523,13.0,9.0,0.49648593065221397,0.36582985701655846,5.0,0.0,1.0,2.0
-0.4,59.0,187.0,1.0,0.312556181582076,4.0,9.0,0.21469401870345106,0.5085573581602889,0.0,1.0,0.0,4.0
-0.4,59.0,188.0,1.0,0.36483691669119445,4.0,4.0,0.21065390671145154,0.20752561539398579,1.0,0.0,0.0,1.0
-0.4,59.0,189.0,1.0,0.13225936547350348,0.0,10.0,2.0619247802577635e-18,0.6405046350116673,0.0,2.0,0.0,8.0
-0.4,59.0,190.0,0.0,0.5847719794250728,10.0,9.0,0.47363255097465295,0.49796605264699756,2.0,0.0,1.0,2.0
-0.4,59.0,191.0,1.0,0.1494575410154768,4.0,6.0,0.23407141329419634,0.3049871474089365,1.0,1.0,0.0,2.0
-0.4,59.0,192.0,1.0,0.06504455040511126,5.0,8.0,0.251021270916691,0.42268324459557577,0.0,0.0,0.0,3.0
-0.4,59.0,193.0,1.0,0.4472613101299213,12.0,12.0,0.5695003311051273,0.6868806043682225,4.0,3.0,1.0,2.0
-0.4,59.0,194.0,0.0,0.4892610524585831,15.0,10.0,0.7746370568636601,0.4633734014728996,3.0,0.0,2.0,0.0
-0.4,59.0,195.0,0.0,0.7793232084976038,13.0,8.0,0.6223467811269248,0.44387354400224205,6.0,0.0,1.0,2.0
-0.4,59.0,196.0,0.0,0.7331950327351349,7.0,6.0,0.3635065761283795,0.2750150338378054,1.0,0.0,1.0,1.0
-0.4,59.0,197.0,0.0,0.8232380765750259,8.0,10.0,0.4531827764695574,0.5519259861218426,0.0,0.0,0.0,2.0
-0.4,59.0,198.0,0.0,0.8396474159831265,16.0,18.0,0.6587868059853774,1.0,2.0,0.0,1.0,5.0
-0.4,59.0,199.0,0.0,0.43502732808174094,3.0,8.0,0.10555801606698882,0.3620859150939288,1.0,1.0,1.0,6.0
