gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.3,0.0,42.0,1.0,0.5596520840045076,9.0,7.0,0.41505441635663565,0.33375693528400197,0.3181284763675468,3.0,1.0,1.0,1.0
0.3,0.0,43.0,1.0,0.3622545401736844,12.0,11.0,0.6129248663485187,0.5591780540408392,0.26916875174403854,2.0,2.0,2.0,1.0
0.3,0.0,44.0,0.0,0.8659003270256347,14.0,9.0,0.7849504900323299,0.4637918206826337,0.04044930224040678,5.0,0.0,3.0,3.0
0.3,0.0,45.0,1.0,0.912746771556338,9.0,8.0,0.5922775434088251,0.4720972277708336,-0.1396063458781228,0.0,0.0,2.0,1.0
0.3,0.0,46.0,1.0,0.6030761768681883,7.0,6.0,0.2925914048779423,0.3115650505809543,0.24980070666431034,0.0,1.0,3.0,1.0
0.3,0.0,47.0,0.0,0.5673853112148345,12.0,6.0,0.6745037669592303,0.33615599549123637,0.38740448630868285,5.0,0.0,1.0,0.0
0.3,0.0,48.0,0.0,0.32169918707917977,16.0,14.0,0.7398513011928893,0.9254372934585086,0.45165836291073225,4.0,0.0,2.0,4.0
0.3,0.0,49.0,1.0,0.15595315871510396,4.0,8.0,0.17031072474026676,0.3092572960582013,0.7740150947487657,3.0,1.0,0.0,6.0
0.3,0.0,50.0,1.0,0.8569126253996313,6.0,5.0,0.3311540810799999,0.2333914390041037,-0.07082460438971015,1.0,0.0,1.0,1.0
0.3,0.0,51.0,0.0,0.4446914230630784,1.0,5.0,0.05632771287498095,0.30220759500190003,0.7259354313431607,1.0,2.0,0.0,3.0
0.3,0.0,52.0,0.0,0.6767862147719319,12.0,8.0,0.5595588430429211,0.37117367404190216,0.31941459780790177,4.0,0.0,2.0,2.0
0.3,0.0,53.0,0.0,0.3257809736433772,4.0,10.0,0.1869843001905349,0.4744806220433059,0.5082156028551462,1.0,4.0,1.0,4.0
0.3,0.0,54.0,0.0,0.9219190483194617,15.0,7.0,0.701341117443556,0.4265250891888929,0.36555406955491104,6.0,0.0,3.0,1.0
0.3,0.0,55.0,0.0,0.875850879656426,9.0,6.0,0.4519054671262326,0.3159732891260178,0.207248673339035,1.0,0.0,2.0,0.0
0.3,0.0,56.0,0.0,0.36947117798232343,4.0,7.0,0.1515359017794691,0.279386965450383,0.4663243679727297,2.0,2.0,0.0,3.0
0.3,0.0,57.0,0.0,0.7607481458346108,10.0,6.0,0.47670504081871,0.40983341457789113,0.6670489620162885,4.0,0.0,0.0,0.0
0.3,0.0,58.0,0.0,0.06255509966441863,5.0,10.0,0.21558946874328758,0.4011478848634771,0.7691599998376389,2.0,1.0,0.0,6.0
0.3,0.0,59.0,0.0,0.905476446028714,11.0,7.0,0.554596409920945,0.39167842466389574,0.09959583419070085,4.0,0.0,1.0,1.0
0.3,0.0,60.0,1.0,0.9999506862494559,14.0,9.0,0.4101564339099984,0.4137506519777289,0.3471033334100383,4.0,0.0,1.0,0.0
0.3,0.0,61.0,1.0,0.7643197648337198,8.0,8.0,0.31661498444242037,0.4219349409630168,0.38480631229309764,2.0,0.0,0.0,2.0
0.3,0.0,62.0,0.0,0.6430775667819979,10.0,8.0,0.4099628369658383,0.3340604807321452,0.29847950969017206,2.0,0.0,1.0,1.0
0.3,0.0,63.0,0.0,0.6788793082857412,11.0,5.0,0.6342169615982347,0.29442001448325456,-0.03165161740933347,3.0,0.0,4.0,1.0
0.3,0.0,64.0,1.0,0.21251290048371507,3.0,2.0,0.1506061631409528,0.11063061244806421,0.6909082071900607,2.0,1.0,0.0,0.0
0.3,0.0,65.0,1.0,0.26117647757670825,7.0,7.0,0.38676010172920916,0.43331326244279156,0.5462855005537912,2.0,1.0,0.0,1.0
0.3,0.0,66.0,1.0,0.4202898159941365,13.0,8.0,0.6694626007382015,0.3681979956965725,0.004690609493252967,2.0,0.0,3.0,0.0
0.3,0.0,67.0,1.0,0.8914819481793796,14.0,10.0,0.7128099159060677,0.6219914631828412,0.36276699528391415,3.0,0.0,4.0,3.0
0.3,0.0,68.0,1.0,0.870075405071392,12.0,9.0,0.6412235588918356,0.5221697480864782,0.14657194991711378,2.0,0.0,2.0,1.0
0.3,0.0,69.0,0.0,0.342369967585034,11.0,7.0,0.6313409660817879,0.3907017844500881,0.38564679533136303,5.0,0.0,0.0,1.0
0.3,0.0,70.0,1.0,0.37970394555152254,14.0,10.0,0.6082553969049656,0.6230632249047795,0.33294803343874313,4.0,0.0,1.0,1.0
0.3,0.0,71.0,0.0,0.7329789972853094,9.0,4.0,0.4854602571285158,0.23258008057420915,0.611978236449813,6.0,0.0,0.0,1.0
0.3,0.0,72.0,1.0,0.5732192919766342,9.0,9.0,0.3633612580163829,0.4556461484500017,0.27524872680216306,2.0,2.0,3.0,3.0
0.3,0.0,73.0,1.0,0.503541149444666,18.0,14.0,0.9935797143281617,0.8437159956239509,0.24905107429102696,4.0,0.0,2.0,2.0
0.3,0.0,74.0,1.0,0.024844683004521917,7.0,11.0,0.34419989435389303,0.6030665536584657,0.6750344142222403,2.0,2.0,0.0,4.0
0.3,0.0,75.0,0.0,0.02951354229122949,7.0,16.0,0.4818809208204232,1.0,0.5559467312077555,1.0,3.0,0.0,7.0
