gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,1,115,0,2,0,0
0.9,1,116,0,2,0,1
0.9,1,117,2,0,0,0
0.9,1,118,0,1,0,1
0.9,1,119,0,0,1,3
0.9,1,120,3,4,0,2
0.9,1,121,0,4,0,0
0.9,1,122,1,1,1,0
0.9,1,123,0,3,0,2
0.9,1,124,0,0,0,0
0.9,1,125,2,0,0,0
0.9,1,126,0,2,1,2
0.9,1,127,0,0,0,0
0.9,1,128,0,3,0,2
0.9,1,129,0,4,0,2
0.9,1,130,0,0,0,1
0.9,1,131,0,1,0,2
0.9,1,132,3,1,0,0
0.9,1,133,0,1,0,0
0.9,1,134,0,1,0,1
0.9,1,135,2,0,2,0
0.9,1,136,0,1,1,0
0.9,1,137,0,0,0,0
0.9,1,138,0,1,0,3
0.9,1,139,0,1,0,1
0.9,1,140,0,2,0,2
0.9,1,141,4,4,1,2
0.9,1,142,1,0,0,1
0.9,1,143,1,1,4,1
0.9,1,144,2,0,1,0
0.9,1,145,0,0,1,1
0.9,1,146,0,1,0,0
0.9,1,147,0,0,0,1
0.9,1,148,0,0,0,1
0.9,1,149,3,1,1,1
0.9,1,150,0,2,0,0
0.9,1,151,0,0,0,1
0.9,1,152,1,3,3,1
0.9,1,153,0,1,0,2
0.9,1,154,0,0,1,0
0.9,1,155,2,1,1,1
0.9,1,156,0,1,1,0
0.9,1,157,0,1,0,1
0.9,1,158,2,2,1,2
0.9,1,159,1,0,1,0
0.9,1,160,0,0,0,0
0.9,1,161,2,1,0,1
0.9,1,162,0,1,1,1
0.9,1,163,0,1,0,2
0.9,1,164,0,1,0,2
0.9,1,165,0,0,0,4
0.9,1,166,0,1,1,0
0.9,1,167,2,0,1,0
0.9,1,168,0,0,0,1
0.9,1,169,0,1,0,0
0.9,1,170,1,1,3,0
0.9,1,171,0,0,0,0
0.9,1,172,0,0,0,4
0.9,1,173,0,0,0,0
0.9,1,174,0,0,0,0
0.9,1,175,0,0,0,2
0.9,1,176,0,1,0,0
0.9,1,177,0,2,0,0
0.9,1,178,0,0,0,1
0.9,1,179,0,1,0,1
0.9,1,180,0,0,0,0
0.9,1,181,0,0,0,1
0.9,1,182,0,0,0,0
0.9,1,183,1,0,1,0
0.9,1,184,0,1,0,3
0.9,1,185,0,1,0,1
0.9,1,186,1,2,0,2
0.9,1,187,0,0,0,2
0.9,1,188,0,1,0,2
0.9,1,189,0,1,0,2
0.9,1,190,0,0,0,0
0.9,1,191,0,1,0,0
0.9,1,192,0,1,0,1
0.9,1,193,0,0,0,0
0.9,1,194,0,3,1,1
0.9,1,195,1,1,0,0
0.9,1,196,0,2,0,0
0.9,1,197,1,0,2,1
0.9,1,198,0,0,1,1
0.9,1,199,0,0,0,1
0.9,2,0,0,1,0,3
0.9,2,1,0,1,0,1
0.9,2,2,0,0,3,0
0.9,2,3,0,2,0,0
0.9,2,4,3,0,2,0
0.9,2,5,0,1,0,1
0.9,2,6,0,2,0,0
0.9,2,7,0,0,0,0
0.9,2,8,0,1,1,0
0.9,2,9,0,1,0,2
0.9,2,10,0,2,0,2
0.9,2,11,0,1,0,1
0.9,2,12,0,2,0,1
0.9,2,13,0,2,2,2
0.9,2,14,0,0,0,4
