gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,13.0,42.0,1.0,0.2509726530775658,6.0,6.0,0.26640687430107085,0.43059896224188793,1.0,0.0,0.0,1.0
0.5,13.0,43.0,0.0,0.09127249119257608,7.0,9.0,0.32293472911771925,0.40942182518890596,3.0,2.0,0.0,3.0
0.5,13.0,44.0,0.0,0.4024142917810848,3.0,7.0,0.15202519696614944,0.3289875719625151,1.0,3.0,1.0,3.0
0.5,13.0,45.0,1.0,0.2859877445028003,4.0,4.0,0.17059653420473753,0.21466913504436347,2.0,0.0,1.0,3.0
0.5,13.0,46.0,1.0,0.8379969596212926,12.0,9.0,0.542417677551426,0.5306851128719349,5.0,0.0,0.0,2.0
0.5,13.0,47.0,1.0,0.4715505967217012,1.0,6.0,0.07613701115707815,0.4862368320042886,0.0,0.0,0.0,5.0
0.5,13.0,48.0,1.0,0.3882298791102894,3.0,6.0,0.13395541500235048,0.2422669487971756,2.0,1.0,0.0,4.0
0.5,13.0,49.0,1.0,0.7606993757048892,0.0,5.0,1.3807468605238444e-17,0.2528892862743108,0.0,0.0,0.0,5.0
0.5,13.0,50.0,1.0,0.4633226776541206,13.0,13.0,0.5973296746365064,0.7579189759057132,2.0,0.0,1.0,3.0
0.5,13.0,51.0,0.0,0.630019539466287,8.0,5.0,0.3724415632876448,0.2556517813131716,2.0,0.0,1.0,0.0
0.5,13.0,52.0,1.0,0.9588015614648027,11.0,10.0,0.4250687815434512,0.6143222736768222,1.0,0.0,2.0,2.0
0.5,13.0,53.0,1.0,0.37310712288434145,2.0,10.0,0.11851235060344097,0.5855974391658416,1.0,2.0,0.0,7.0
0.5,13.0,54.0,0.0,0.9618650605734268,10.0,8.0,0.5307727780230529,0.5229638561097878,2.0,0.0,0.0,0.0
0.5,13.0,55.0,0.0,0.8698352052436162,14.0,15.0,0.7060799398477278,0.9990423137066432,0.0,0.0,1.0,2.0
0.5,13.0,56.0,1.0,0.829840882889106,6.0,7.0,0.3300030395783141,0.3982297517276273,1.0,0.0,0.0,2.0
0.5,13.0,57.0,1.0,0.4540842715958776,7.0,5.0,0.20852773741543387,0.23801258932924677,2.0,0.0,2.0,2.0
0.5,13.0,58.0,1.0,0.4226052961220228,14.0,12.0,0.6546274501076906,0.5702740895933869,3.0,0.0,1.0,2.0
0.5,13.0,59.0,1.0,0.9090286488365928,11.0,9.0,0.4742140190147851,0.5551787882696594,2.0,0.0,2.0,2.0
0.5,13.0,60.0,1.0,0.5699363242183407,1.0,4.0,0.051004531561912723,0.28655218291619927,1.0,0.0,0.0,4.0
0.5,13.0,61.0,1.0,0.12582451094985003,1.0,8.0,0.05748974629268169,0.4561525911690111,1.0,2.0,0.0,6.0
0.5,13.0,62.0,0.0,0.07987829970768068,7.0,10.0,0.2765411084007074,0.5057085892424498,1.0,1.0,0.0,3.0
0.5,13.0,63.0,1.0,0.9529008453571507,7.0,3.0,0.27503122007430697,0.16819444859206562,2.0,0.0,3.0,1.0
0.5,13.0,64.0,0.0,0.7643867816958794,16.0,16.0,0.6910743178820529,0.9268512542597389,2.0,0.0,1.0,3.0
0.5,13.0,65.0,0.0,0.9395787548689017,13.0,13.0,0.5265387110870638,0.8361394811204765,2.0,0.0,1.0,3.0
0.5,13.0,66.0,1.0,0.9332696085649069,5.0,3.0,0.14165613560338114,0.12746865854287345,2.0,0.0,1.0,1.0
0.5,13.0,67.0,1.0,0.6197901697523611,15.0,9.0,0.611385963406889,0.48938436618938497,6.0,0.0,0.0,0.0
0.5,13.0,68.0,1.0,0.0025201790713956784,6.0,6.0,0.2819662901337513,0.4282608359905891,0.0,1.0,1.0,0.0
0.5,13.0,69.0,0.0,0.5087798236654604,10.0,7.0,0.34993289519666104,0.30940062204894586,3.0,0.0,0.0,0.0
0.5,13.0,70.0,0.0,0.4771828225954734,1.0,6.0,0.032904833555903824,0.3307079968187496,1.0,3.0,0.0,3.0
0.5,13.0,71.0,0.0,0.1225039557457529,4.0,6.0,0.1556083544585921,0.383668272618884,3.0,2.0,0.0,3.0
0.5,13.0,72.0,0.0,0.7466724441104856,9.0,5.0,0.34450928025601707,0.239423803755963,3.0,0.0,2.0,1.0
0.5,13.0,73.0,1.0,0.5723343632522552,8.0,6.0,0.3497065713925509,0.2214717727986667,2.0,0.0,2.0,2.0
0.5,13.0,74.0,0.0,0.8967110869940883,14.0,8.0,0.5903327220165401,0.41167907443852236,6.0,0.0,1.0,1.0
0.5,13.0,75.0,1.0,0.2984637894819575,2.0,9.0,0.08481057790576474,0.5336318033371403,0.0,2.0,0.0,5.0
0.5,13.0,76.0,1.0,0.6862635871474297,11.0,8.0,0.4497589575512677,0.42275595816580325,3.0,0.0,2.0,2.0
0.5,13.0,77.0,1.0,0.6596270363041882,14.0,12.0,0.513978829084599,0.7206404827252183,2.0,0.0,1.0,1.0
0.5,13.0,78.0,1.0,0.9285564444898426,10.0,5.0,0.4749457659224377,0.26548986461002955,5.0,0.0,0.0,0.0
0.5,13.0,79.0,1.0,0.6812894980146224,9.0,5.0,0.3643542749219508,0.22051319532954047,2.0,0.0,3.0,1.0
0.5,13.0,80.0,0.0,0.47960602647846606,15.0,9.0,0.6147904473931548,0.39276003423393857,5.0,0.0,1.0,0.0
0.5,13.0,81.0,1.0,0.5446787926328366,6.0,5.0,0.2407805910174266,0.2040790078452122,3.0,0.0,0.0,2.0
0.5,13.0,82.0,0.0,0.25846993665396933,6.0,10.0,0.23512309935203346,0.4841090314923606,1.0,1.0,1.0,5.0
0.5,13.0,83.0,0.0,0.9463751992961578,9.0,9.0,0.37969475432115396,0.48174632910983695,0.0,0.0,1.0,1.0
0.5,13.0,84.0,0.0,0.3660862682301965,14.0,7.0,0.5677515878241558,0.3332607619306131,5.0,0.0,3.0,1.0
0.5,13.0,85.0,0.0,0.2536109661207865,14.0,10.0,0.4822816632936644,0.4927580611420552,3.0,1.0,3.0,1.0
0.5,13.0,86.0,1.0,0.4620498438177215,8.0,11.0,0.358954321833654,0.6728537048465295,0.0,1.0,0.0,2.0
0.5,13.0,87.0,0.0,0.23919753780571662,9.0,10.0,0.41555372183055406,0.7439392439014532,3.0,0.0,1.0,5.0
0.5,13.0,88.0,0.0,0.7725075809522035,17.0,12.0,0.7731795160208733,0.7731901506967525,5.0,0.0,1.0,1.0
0.5,13.0,89.0,1.0,0.5747180169354662,10.0,6.0,0.3347985645530616,0.3611307244594696,4.0,0.0,2.0,2.0
0.5,13.0,90.0,1.0,0.07292442550951894,4.0,6.0,0.1815347675102184,0.3132937648995478,3.0,1.0,0.0,4.0
0.5,13.0,91.0,0.0,0.8505185742834735,12.0,10.0,0.4528296845038217,0.6454473587886599,2.0,0.0,1.0,1.0
0.5,13.0,92.0,1.0,0.9046108794386492,8.0,7.0,0.40021828704797,0.45407014763837716,0.0,0.0,1.0,0.0
