trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
pre,20.0,9.521,4.8569,4.6641,31.0592,15.3011,15.7581,3.30607276690621,4.658,0.1877519642919188,-0.10000000000001588,45
post,20.0,8.2785,4.2017,4.0768,9.3491,4.8167,4.5324,1.1084765671258587,5.1891,0.6478279356793472,-0.10000000000001588,85
pre,20.0,9.9164,5.0101,4.9063,34.0443,16.7527,17.2916,3.3659564943496414,4.6595,0.18582464948688573,-0.10000000000001588,85
post,20.0,8.2171,4.2298,3.9873,9.7349,4.8744,4.8605,1.1581533664826962,5.5315,0.6642975970418333,-0.10000000000001588,32
pre,20.0,9.5447,4.8799,4.6648,29.2326,14.339,14.8936,3.1923453636716275,4.6136,0.1909481298792244,-0.10000000000001588,32
post,20.0,8.3531,4.054,4.2991,9.8258,4.5307,5.2951,1.1595171529231045,5.3722,0.6405345254395053,-0.10000000000001588,47
pre,20.0,10.0752,4.8742,5.201,38.1741,17.355,20.8191,3.5889241871637534,5.2091,0.17675419553843594,-0.10000000000001588,47
post,20.0,8.2053,4.0407,4.1646,9.4925,4.4648,5.0277,1.1368285308701878,5.3853,0.6762904569216501,-0.10000000000001588,48
pre,20.0,10.2808,5.0043,5.2765,44.0523,20.2365,23.8158,4.349960625236987,5.2103,0.15140408720238197,-0.10000000000001588,48
post,20.0,8.1062,3.97,4.1362,9.5266,4.5582,4.9684,1.1505385993523993,5.41,0.6713996981632454,-0.10000000000001588,1
pre,20.0,10.3299,5.0589,5.271,77.1028,35.197,41.9058,8.740256249992296,7.1288,0.1031938027419023,-0.10000000000001588,1
post,20.0,8.0807,3.842,4.2387,8.9456,4.2264,4.7192,1.0894323751772643,5.1884,0.6827309707966581,-0.10000000000001588,73
pre,20.0,10.0178,4.9057,5.1121,37.6004,19.325,18.2754,3.53263959416706,4.5002,0.18121685863089415,-0.10000000000001588,73
post,20.0,7.7288,4.0004,3.7284,8.3698,4.3309,4.0389,1.0658225825632108,4.8176,0.678526154759129,-0.10000000000001588,19
pre,20.0,9.3556,4.9355,4.4201,28.4659,15.681,12.7849,2.817976628377926,4.7841,0.23451183214191584,-0.10000000000001588,19
post,20.0,8.0578,4.1822,3.8756,8.8298,4.7268,4.103,1.0774132361110287,4.986,0.6695994453673696,-0.10000000000001588,16
pre,20.0,10.1403,5.356,4.7843,50.0372,27.8764,22.1608,4.560956046272836,6.6464,0.1863490905027244,-0.10000000000001588,16
