gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.2,50,0.385725322,0.012498457,-0.167919402,-0.055236275
-0.2,51,0.32996231,0.024780576,-0.137919362,-0.03505013
-0.2,52,0.287008704,-0.073911186,-0.102789773,-0.002210904
-0.2,53,0.363296764,-0.00140823,-0.110169197,-0.006395766
-0.2,54,0.352860395,-0.05287015,-0.134535009,0.000457896
-0.2,55,0.308270677,-0.060662914,-0.142014452,0.009924413
-0.2,56,0.379612258,0.012424389,-0.141873012,0.051023147
-0.2,57,0.449914049,0.029702846,-0.164937995,-0.031811925
-0.2,58,0.334962592,-0.023345859,-0.19267585,0.02100699
-0.2,59,0.367910153,0.003405449,-0.159760687,0.016048063
-0.2,60,0.324049445,0.009975249,-0.108295796,0.048980841
-0.2,61,0.339816975,0.076096508,-0.063480651,0.007535341
-0.2,62,0.407476855,0.054852321,-0.12902985,-0.020896914
-0.2,63,0.350845411,-0.000306344,-0.128901558,0.036171447
-0.2,64,0.304373937,-0.013071436,-0.087557236,-0.003362355
-0.2,65,0.322352941,-0.032772717,-0.074805346,0.004052952
-0.2,66,0.332448891,-0.025057659,-0.146295536,0.050596824
-0.2,67,0.357378504,-0.017628794,-0.152387962,-0.027006692
-0.2,68,0.372279317,0.000799798,-0.119688334,-0.005879091
-0.2,69,0.329849216,-0.033354132,-0.165400862,0.014438393
-0.2,70,0.372451953,-0.012577525,-0.131000798,0.007854386
-0.2,71,0.369936994,0.017424772,-0.161709234,0.008748689
-0.2,72,0.441549762,0.014112701,-0.157651774,-0.011023008
-0.2,73,0.339145129,0.002049363,-0.220540514,-0.011152692
-0.2,74,0.289889045,-0.040234053,-0.180783797,-0.026257196
-0.2,75,0.338904259,-0.023345859,-0.168321809,0.021870733
-0.2,76,0.242495501,-0.040526767,-0.131514346,-0.044684932
-0.2,77,0.342498973,-0.007690516,-0.108005245,-0.022343537
-0.2,78,0.344852592,-0.037501621,-0.103721331,-0.018024702
-0.2,79,0.347205222,-0.057633857,-0.154574421,-0.027600398
-0.2,80,0.354935494,-0.010025251,-0.16838365,-0.023897895
-0.2,81,0.422560317,0.027060657,-0.171855489,-0.034375012
-0.2,82,0.309153713,-0.035006469,-0.127225862,0.030359162
-0.2,83,0.352134563,-0.047501637,-0.221211592,-0.06997969
-0.2,84,0.387453102,0.002485972,-0.143519322,-0.025655244
-0.2,85,0.337490683,0.054621849,-0.135363582,0.043017363
