true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
1.31,11.365,9987.245,0.08,0.101787513588315,0.9999919923411337,0.9690131124913735,0.10000000000000007,4.0
1.45,12.06,9986.435,0.055,0.10999683438776968,0.9999944912839076,0.9857142857142859,0.10000000000000007,5.0
1.375,11.225,9987.285,0.115,0.10880848296281975,0.9999884882861214,0.9653880070546735,0.10000000000000007,6.0
1.46,12.37,9986.14,0.03,0.11653248226224464,0.9999969987993996,0.9808153477218224,0.10000000000000007,7.0
1.1,9.785,9989.11,0.005,0.10110464769005992,0.9999994995495947,0.9959349593495935,0.10000000000000007,8.0
1.335,12.525,9986.115,0.025,0.10063478653545016,0.9999974956912007,0.9897260273972602,0.10000000000000007,9.0
1.485,14.06,9984.42,0.035,0.09181538811433052,0.9999964956425375,0.9858620689655172,0.10000000000000007,0.0
1.415,13.525,9985.01,0.05,0.09411934399091867,0.9999949916322837,0.9797872340425532,0.10000000000000007,1.0
0.99,9.64,9989.31,0.06,0.09519287780328121,0.999993994191927,0.9736894757903163,0.10000000000000007,2.0
1.635,14.05,9984.205,0.11,0.10593705375690139,0.9999889827108523,0.9731630400504573,0.10000000000000007,3.0
1.94,16.82,9981.2,0.04,0.10323834724716456,0.9999959926829323,0.9817204301075269,0.10000000000000007,4.0
0.95,9.79,9989.245,0.015,0.08632259206493896,0.9999984983481529,0.980225988700565,0.10000000000000007,5.0
1.485,13.175,9985.295,0.045,0.10694861751335068,0.999995495544256,0.9834444444444446,0.10000000000000007,6.0
1.49,12.675,9985.815,0.02,0.0999954936828429,0.999997998598799,0.981609195402299,0.10000000000000007,7.0
2.13,19.51,9978.27,0.09,0.09766760576748831,0.9999909819482933,0.9775967697020329,0.10000000000000007,8.0
1.955,17.63,9980.4,0.015,0.10855525007589008,0.9999984976964545,0.9957364341085271,0.10000000000000007,9.0
1.315,12.11,9986.545,0.03,0.10365631197265711,0.9999969965443631,0.9767156862745097,0.10000000000000007,0.0
1.685,15.17,9983.07,0.075,0.10297398907045752,0.9999924901837289,0.9733995584988964,0.10000000000000007,1.0
2.115,17.22,9980.56,0.105,0.11684973047606922,0.9999894765294358,0.965686274509804,0.10000000000000007,2.0
1.245,11.425,9987.295,0.035,0.0926105921673308,0.9999964966942574,0.9768939393939393,0.10000000000000007,3.0
1.395,12.815,9985.76,0.03,0.10304275424080626,0.9999969956402808,0.974113475177305,0.10000000000000007,4.0
1.445,13.135,9985.34,0.08,0.1015285877902263,0.9999919876796146,0.9677680596047941,0.10000000000000007,5.0
1.35,12.555,9986.015,0.08,0.10124628943099971,0.9999919886817265,0.9655011655011655,0.10000000000000007,6.0
1.055,9.78,9989.145,0.02,0.09816901988540916,0.9999979980478625,0.985792349726776,0.10000000000000007,7.0
1.32,12.89,9985.755,0.035,0.0919773213656255,0.9999964954933397,0.9856770833333334,0.10000000000000007,8.0
1.375,11.99,9986.595,0.04,0.10675951193083867,0.9999959960954845,0.9821029082774048,0.10000000000000007,9.0
1.85,16.56,9981.53,0.06,0.10083467398018732,0.99999398872163,0.9820460704607047,0.10000000000000007,0.0
1.79,14.99,9983.075,0.145,0.10374949770450771,0.9999854785114836,0.9634353741496599,0.10000000000000007,1.0
1.815,15.415,9982.725,0.045,0.10696949341685145,0.999995495543363,0.9865972879217912,0.10000000000000007,2.0
1.15,9.87,9988.945,0.035,0.10748982224490326,0.9999964974475223,0.9800995024875621,0.10000000000000007,3.0
1.415,11.085,9987.48,0.02,0.11884127473569792,0.9999979990995498,0.9897058823529411,0.10000000000000007,4.0
1.315,12.215,9986.45,0.02,0.09618540642308553,0.9999979974968259,0.9922453703703703,0.10000000000000007,5.0
1.715,16.835,9981.385,0.065,0.09792516484870643,0.9999934901309915,0.9756951102588687,0.10000000000000007,6.0
1.655,13.925,9984.355,0.065,0.10526945687363502,0.9999934901338564,0.9813199105145414,0.10000000000000007,7.0
1.955,18.235,9979.765,0.045,0.09523246961013009,0.9999954924337756,0.9880174291938999,0.10000000000000007,8.0
1.28,11.625,9986.995,0.1,0.10129391934386364,0.999989991439982,0.9556737588652482,0.10000000000000007,9.0
1.12,10.135,9988.665,0.08,0.0985031230358275,0.9999919896268881,0.9539370078740158,0.10000000000000007,0.0
