trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,10.2014,5.1614,5.04,15.0475,7.6154,7.4321,1.3366597910438487,4.0269,0.34258944614633646,-0.10000000000001588,69
pre,20.0,10.2303,5.1859,5.0444,66.1101,31.4646,34.6455,6.097087345224621,4.2887,0.11688010843647759,-0.10000000000001588,69
post,20.0,10.3087,5.262,5.0467,14.7063,7.6381,7.0682,1.307983769944737,3.9651,0.36131309253339594,-0.10000000000001588,0
pre,20.0,10.1759,5.2276,4.9483,66.0978,33.3105,32.7873,6.137572496342571,2.6932,0.09573736705019095,-0.10000000000001588,0
post,20.0,10.2102,5.3661,4.8441,15.532,8.3902,7.1418,1.3669265130297208,4.4002,0.35809154716745084,-0.10000000000001588,24
pre,20.0,10.2072,5.3693,4.8379,66.1609,36.1247,30.0362,7.804581671284699,7.7619,0.12716652247756527,-0.10000000000001588,24
post,20.0,10.08,5.2891,4.7909,14.8334,7.8958,6.9376,1.3463524217657818,4.0786,0.3634781898213653,-0.10000000000001588,95
pre,20.0,9.9407,5.1777,4.763,50.1763,24.9827,25.1936,5.225898882669235,2.9717,0.0991489173713844,-0.10000000000001588,95
post,20.0,9.7242,5.2509,4.4733,14.6327,7.9328,6.6999,1.3649131160257173,4.1915,0.3654927643832961,-0.10000000000001588,31
pre,20.0,9.6977,5.194,4.5037,66.463,37.0369,29.4261,8.859397912747157,7.725,0.12237427338530023,-0.10000000000001588,31
post,20.0,9.5593,4.8116,4.7477,13.4188,6.7198,6.699,1.2906750202173192,3.67,0.3766650806514582,-0.10000000000001588,86
pre,20.0,9.5768,4.8078,4.769,29.3117,13.6739,15.6378,3.0729438267199454,3.5449,0.1920382071198294,-0.10000000000001588,86
post,20.0,9.8666,4.657,5.2096,14.469,6.4243,8.0447,1.3331303961315129,4.2118,0.36644730025783834,-0.10000000000001588,98
pre,20.0,9.9375,4.6885,5.249,52.0864,24.0671,28.0193,5.073840703338624,4.5532,0.1341440752872601,-0.10000000000001588,98
post,20.0,9.3261,4.8234,4.5027,13.1428,7.0524,6.0904,1.3031823374310503,3.7248,0.3604739344711689,-0.10000000000001588,15
pre,20.0,9.3882,4.873,4.5152,41.441,22.5983,18.8427,4.1890589856439915,4.4326,0.1924764378407432,-0.10000000000001588,15
post,20.0,9.6083,4.5012,5.1071,14.0448,6.4828,7.562,1.3301222953341425,3.959,0.38512108386149974,-0.10000000000001588,17
pre,20.0,9.5596,4.5007,5.0589,38.8751,14.6033,24.2718,4.028111681414499,9.7373,0.31835028560670275,-0.10000000000001588,17
post,20.0,10.0744,5.3288,4.7456,14.5307,7.8534,6.6773,1.3083720043774694,4.0665,0.3640040444509453,-0.10000000000001588,16
pre,20.0,10.188,5.3604,4.8276,61.8681,33.2633,28.6048,6.281344832955649,5.2439,0.10736728489235742,-0.10000000000001588,16
post,20.0,9.6751,4.7471,4.928,14.0378,6.7686,7.2692,1.3164160760129382,3.8004,0.35314367169900934,-0.10000000000001588,90
pre,20.0,9.7174,4.7403,4.9771,44.1588,21.3759,22.7829,5.434287809462097,2.7514,0.08209505512054865,-0.10000000000001588,90
post,20.0,9.9478,5.2575,4.6903,14.17,7.7196,6.4504,1.2966880749506204,3.901,0.3651334509889344,-0.10000000000001588,36
pre,20.0,9.8828,5.2302,4.6526,55.2662,30.8886,24.3776,6.185113866945927,6.8614,0.16361258034399254,-0.10000000000001588,36
post,20.0,9.2887,5.0438,4.2449,13.148,7.7309,5.4171,1.2938722716976105,4.108,0.37742411023341704,-0.10000000000001588,96
pre,20.0,9.3535,5.1055,4.248,49.7958,29.2202,20.5756,5.69574872805322,9.1378,0.21638432887017303,-0.10000000000001588,96
post,20.0,9.8754,5.1294,4.746,13.9285,7.2544,6.6741,1.29893623428931,3.8831,0.37671767041839294,-0.10000000000001588,70
pre,20.0,9.9024,5.1664,4.736,41.4371,20.9463,20.4908,3.6041413504197246,3.7657,0.21453512629826355,-0.10000000000001588,70
post,20.0,10.2974,5.475,4.8224,15.8667,8.6414,7.2253,1.3993915148045637,4.5381,0.36529199198064144,-0.10000000000001588,87
pre,20.0,10.2147,5.4659,4.7488,50.7494,28.0762,22.6732,5.2848702497229025,5.85,0.12046132621133496,-0.10000000000001588,87
post,20.0,9.5078,4.6422,4.8656,14.0903,7.087,7.0033,1.3390422964902955,3.9311,0.37192159289954113,-0.10000000000001588,11
pre,20.0,9.403,4.6071,4.7959,37.9051,19.9647,17.9404,4.08292755120591,3.9605,0.16948151179143903,-0.10000000000001588,11
post,20.0,9.9116,4.7459,5.1657,15.2813,7.2249,8.0564,1.4015821212157689,4.2093,0.36269679989810494,-0.10000000000001588,92
pre,20.0,9.8956,4.7182,5.1774,53.4271,25.2013,28.2258,5.555579053031969,4.1203,0.12267704448277507,-0.10000000000001588,92
post,20.0,9.5824,4.6901,4.8923,13.9756,6.9175,7.0581,1.3378422345190502,3.9088,0.37839571173413145,-0.10000000000001588,39
pre,20.0,9.6602,4.6833,4.9769,34.1699,17.2873,16.8826,3.3253881289319276,2.8903,0.1534884165297249,-0.10000000000001588,39
post,20.0,10.1183,5.3098,4.8085,15.5753,8.5123,7.063,1.3805247170384878,4.3405,0.3719105615817955,-0.10000000000001588,37
pre,20.0,10.1521,5.3093,4.8428,58.5629,30.4446,28.1183,6.725333793344729,3.1921,0.09970144282449639,-0.10000000000001588,37
post,20.0,10.0267,5.1095,4.9172,14.7142,7.3551,7.3591,1.3344065184580776,4.0038,0.35922144355050883,-0.10000000000001588,2
pre,20.0,9.9989,5.1191,4.8798,50.7614,26.1165,24.6449,5.195810934566943,2.696,0.07728122205094724,-0.10000000000001588,2
post,20.0,9.3597,4.373,4.9867,12.927,5.7736,7.1534,1.2805893546388294,3.753,0.3806047803246852,-0.10000000000001588,6
pre,20.0,9.5263,4.4108,5.1155,26.9626,13.2726,13.69,2.765538922046363,2.795,0.18244002619816457,-0.10000000000001588,6
post,20.0,10.0408,4.8966,5.1442,13.8687,6.8167,7.052,1.271235697414094,3.7365,0.36365871233989433,-0.10000000000001588,73
pre,20.0,10.0925,4.9422,5.1503,30.4756,15.8714,14.6042,2.750837275818201,3.367,0.21203424924551642,-0.10000000000001588,73
post,20.0,9.3859,4.6585,4.7274,12.7201,6.4649,6.2552,1.2450419130612895,3.4871,0.37781942650056854,-0.10000000000001588,67
pre,20.0,9.3448,4.6473,4.6975,27.2355,13.2327,14.0028,3.285154145084606,2.6563,0.15083045246973661,-0.10000000000001588,67
post,20.0,9.9188,4.9776,4.9412,14.7175,7.2754,7.4421,1.345961635955435,4.0165,0.35971801904592265,-0.10000000000001588,85
pre,20.0,9.9063,4.9784,4.9279,45.4129,23.1147,22.2982,4.520627237302722,2.8185,0.11674688174432114,-0.10000000000001588,85
post,20.0,9.5389,4.8761,4.6628,13.4728,6.9357,6.5371,1.2892761161117632,3.7592,0.37437655068686937,-0.10000000000001588,32
pre,20.0,9.4327,4.8215,4.6112,33.2176,16.9031,16.3145,3.429255320881003,2.741,0.14831611690541496,-0.10000000000001588,32
post,20.0,9.9552,5.1104,4.8448,13.741,7.2219,6.5191,1.2671801546586512,3.7042,0.3449901882394436,-0.10000000000001588,23
pre,20.0,9.9529,5.1035,4.8494,72.7425,36.7473,35.9952,8.18445101317384,2.8093,0.07569159900504366,-0.10000000000001588,23
post,20.0,10.4222,5.1527,5.2695,15.5868,7.5188,8.068,1.3619782742570499,4.1698,0.3500835469786987,-0.10000000000001588,66
pre,20.0,10.3965,5.121,5.2755,56.9742,28.0614,28.9128,5.754086303559522,2.9718,0.09634944724628744,-0.10000000000001588,66
post,20.0,10.0831,5.214,4.8691,14.8359,7.5421,7.2938,1.335593971534016,4.0373,0.3589076482486429,-0.10000000000001588,65
pre,20.0,9.9213,5.1471,4.7742,47.0389,24.7503,22.2886,4.988362114824184,3.5907,0.1364443380598339,-0.10000000000001588,65
post,20.0,10.0025,4.8588,5.1437,14.9631,7.2896,7.6735,1.3605135291338337,4.0875,0.3606805550823186,-0.10000000000001588,38
pre,20.0,10.0333,4.8494,5.1839,61.8731,28.3368,33.5363,5.691734698665595,5.6043,0.1519446689979674,-0.10000000000001588,38
post,20.0,9.3158,4.5275,4.7883,13.3835,6.6592,6.7243,1.3145435729903012,3.6973,0.3676061505780499,-0.10000000000001588,94
pre,20.0,9.3786,4.5477,4.8309,30.4074,15.6659,14.7415,3.1152478613801278,3.2636,0.1886488726490661,-0.10000000000001588,94
post,20.0,9.306,4.9476,4.3584,13.0935,6.8824,6.2111,1.2915535690848003,3.6417,0.3794095960850987,-0.10000000000001588,19
pre,20.0,9.3454,4.9731,4.3723,32.1526,17.3878,14.7648,3.1411625193835695,3.764,0.18279113267799188,-0.10000000000001588,19
post,20.0,9.4442,4.3613,5.0829,13.3004,6.1068,7.1936,1.2803205951269858,3.7012,0.3694966524584474,-0.10000000000001588,93
pre,20.0,9.4986,4.3688,5.1298,32.5652,15.8811,16.6841,3.544506465650502,3.364,0.13687274111656744,-0.10000000000001588,93
post,20.0,10.2587,5.1355,5.1232,15.0464,7.3529,7.6935,1.3351842914146066,4.0372,0.35379717348513234,-0.10000000000001588,8
pre,20.0,10.3671,5.1779,5.1892,69.8566,33.834,36.0226,7.015804001858374,3.3272,0.10593305708617753,-0.10000000000001588,8
post,20.0,10.1452,4.7836,5.3616,15.7977,7.396,8.4017,1.4136450755088483,4.4903,0.35984783647763546,-0.10000000000001588,50
pre,20.0,10.1413,4.7832,5.3581,49.9175,23.0047,26.9128,4.616380271579064,4.4547,0.15639925129018364,-0.10000000000001588,50
post,20.0,10.1601,5.1928,4.9673,14.3051,7.3226,6.9825,1.2853716931569756,3.9123,0.3489761617441235,-0.10000000000001588,10
