samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,10.1491,4.6483,5.5008,14.4136,6.3064,8.1072,1.3614892438547965,7.0912,0.534213126248544,-0.10000000000001588,54.0
20.0,10.3452,5.1812,5.164,14.5844,7.2914,7.293,1.3483378703213205,7.1402,0.5411242353083916,-0.10000000000001588,55.0
20.0,9.59,4.8317,4.7583,13.2943,6.5535,6.7408,1.3393263580386345,6.5239,0.5572540320914077,-0.10000000000001588,56.0
20.0,9.9806,4.7051,5.2755,15.0084,6.9574,8.051,1.4326742954726297,7.3422,0.5294620035818794,-0.10000000000001588,57.0
20.0,9.8554,4.9124,4.943,14.5767,7.4048,7.1719,1.4193700734119497,7.1245,0.5365833601830631,-0.10000000000001588,58.0
20.0,10.328,5.0834,5.2446,15.8423,7.3606,8.4817,1.4633371445538752,7.6409,0.5197160126481177,-0.10000000000001588,59.0
20.0,10.3175,5.825,4.4925,14.8944,8.8111,6.0833,1.3772800712241797,7.4968,0.5413693018066695,-0.10000000000001588,60.0
20.0,10.3403,5.3943,4.946,15.4769,8.2013,7.2756,1.4339062333393469,7.3555,0.5147272090927384,-0.10000000000001588,61.0
20.0,9.996,5.293,4.703,14.2649,7.8141,6.4508,1.365800376774836,6.9089,0.5243753438058281,-0.10000000000001588,62.0
20.0,9.9042,4.7957,5.1085,14.6322,6.8094,7.8228,1.4063855503377563,7.288,0.5333753099336961,-0.10000000000001588,63.0
20.0,10.1749,5.0512,5.1237,15.3738,7.6765,7.6973,1.442872306939646,7.517,0.5334661038572688,-0.10000000000001588,64.0
20.0,9.9638,5.1622,4.8016,14.9587,7.9104,7.0483,1.4353518990768674,7.3699,0.540508620941035,-0.10000000000001588,65.0
20.0,10.3941,5.1222,5.2719,15.5122,7.6467,7.8655,1.4310752975326206,7.3314,0.5250799595471769,-0.10000000000001588,66.0
20.0,9.316,4.6201,4.6959,12.5361,6.3291,6.207,1.2924236817384536,6.3149,0.5567460576855606,-0.10000000000001588,67.0
20.0,9.2691,5.0251,4.244,13.1969,7.2388,5.9581,1.3650864557387299,6.7213,0.5571763742362416,-0.10000000000001588,68.0
20.0,10.2791,5.1625,5.1166,15.3256,7.7691,7.5565,1.421572612576937,7.4102,0.5162783061371147,-0.10000000000001588,69.0
20.0,9.8906,5.1531,4.7375,13.7404,7.0544,6.686,1.334181215371077,6.7444,0.5487444340645892,-0.10000000000001588,70.0
20.0,10.8384,5.2283,5.6101,17.3563,7.9503,9.406,1.5335325470809777,8.4177,0.5200788662446656,-0.10000000000001588,71.0
20.0,10.067,4.8951,5.1719,14.624,6.6345,7.9895,1.3933312810111211,7.1766,0.5274164863398763,-0.10000000000001588,72.0
20.0,10.0502,4.8662,5.184,14.2473,7.0459,7.2014,1.3634883661485213,7.0323,0.548231081822466,-0.10000000000001588,73.0
20.0,10.9141,5.4158,5.4983,16.5973,8.4907,8.1066,1.4590116983083854,7.8155,0.5166957924933728,-0.10000000000001588,74.0
20.0,10.1919,5.0536,5.1383,15.0802,7.2234,7.8568,1.4163857770727435,7.4174,0.54171177712499,-0.10000000000001588,75.0
20.0,9.4631,4.4375,5.0256,13.1272,6.0508,7.0764,1.3291091430727282,6.4154,0.5237318553784109,-0.10000000000001588,76.0
20.0,9.5433,4.786,4.7573,13.0398,6.2846,6.7552,1.3183777004718977,6.331,0.5339350252476536,-0.10000000000001588,77.0
20.0,10.3804,5.1813,5.1991,15.3783,8.0743,7.304,1.422034644472188,7.3565,0.5318039052587135,-0.10000000000001588,78.0
20.0,9.8174,5.0593,4.7581,13.8915,7.5471,6.3444,1.3656270032329707,6.7815,0.541371535423293,-0.10000000000001588,79.0
20.0,10.3363,5.4786,4.8577,15.875,8.3822,7.4928,1.4626231442025313,7.7758,0.5216239224780944,-0.10000000000001588,80.0
20.0,9.6874,4.9761,4.7113,13.832,6.9818,6.8502,1.3660297756295685,6.7564,0.5307889113315107,-0.10000000000001588,81.0
20.0,10.2969,5.1079,5.189,15.5683,7.8265,7.7418,1.4402962251723486,7.6689,0.5318418401600725,-0.10000000000001588,82.0
20.0,9.8159,4.9223,4.8936,14.5519,7.1519,7.4,1.4247026162765273,7.1249,0.5449091273505423,-0.10000000000001588,83.0
20.0,10.3553,5.289,5.0663,14.9945,7.3147,7.6798,1.3896942501324767,7.1891,0.523959608201252,-0.10000000000001588,84.0
20.0,9.9373,4.964,4.9733,14.2557,7.0113,7.2444,1.3776302318470177,6.8989,0.5336661047147218,-0.10000000000001588,85.0
20.0,9.6047,4.8168,4.7879,13.4798,6.6501,6.8297,1.3490057190440097,6.5692,0.5401001874705035,-0.10000000000001588,86.0
20.0,10.2468,5.4484,4.7984,14.8539,7.8909,6.963,1.3896415110476368,7.2399,0.5322527371874336,-0.10000000000001588,87.0
20.0,10.7718,5.6775,5.0943,17.2405,9.1103,8.1302,1.527972757027356,8.2773,0.5149760217563865,-0.10000000000001588,88.0
20.0,9.2998,4.5634,4.7364,12.8666,6.4011,6.4655,1.329388503657558,6.4316,0.5588200216146129,-0.10000000000001588,89.0
20.0,9.7637,4.7335,5.0302,13.7967,6.8312,6.9655,1.354110642195405,6.6963,0.5182567509274563,-0.10000000000001588,90.0
20.0,9.6255,4.7678,4.8577,14.0859,6.9908,7.0951,1.3980964022869142,6.8899,0.5287455396160927,-0.10000000000001588,91.0
20.0,9.9632,4.7234,5.2398,14.8247,6.7016,8.1231,1.435925598551171,7.1693,0.5267117588680128,-0.10000000000001588,92.0
20.0,9.5019,4.4037,5.0982,13.4255,5.9535,7.472,1.3581399444323727,6.6905,0.5459829748041093,-0.10000000000001588,93.0
20.0,9.3944,4.6044,4.79,12.8449,6.1415,6.7034,1.315925484514118,6.4139,0.5405239689366712,-0.10000000000001588,94.0
20.0,9.9861,5.2235,4.7626,15.0781,7.8503,7.2278,1.445972455461876,7.4163,0.5424727793193436,-0.10000000000001588,95.0
20.0,9.3278,5.1178,4.21,13.4355,7.7887,5.6468,1.3759067232838198,6.6595,0.5260807917585303,-0.10000000000001588,96.0
20.0,10.276,4.9658,5.3102,15.2927,7.1803,8.1124,1.4264541829647264,7.4819,0.5311246525441657,-0.10000000000001588,97.0
20.0,9.8635,4.6185,5.245,14.5141,6.4086,8.1055,1.4097692903711276,7.1097,0.531809143504327,-0.10000000000001588,98.0
20.0,10.5225,5.4458,5.0767,16.2972,8.8892,7.408,1.4803107090614804,7.9422,0.531389949460532,-0.10000000000001588,99.0
20.0,10.6564,5.297,5.3594,15.5841,7.6025,7.9816,1.4080929324039109,8.0247,0.5571004469137012,-0.20000000000003176,0.0
20.0,10.3328,5.0121,5.3207,15.9071,7.5695,8.3376,1.4814772339078994,8.0369,0.5504150449578283,-0.20000000000003176,1.0
20.0,9.4729,4.6382,4.8347,13.529,6.3943,7.1347,1.370300060661804,7.052,0.5715250014575387,-0.20000000000003176,2.0
20.0,9.7326,4.8507,4.8819,13.7657,7.0833,6.6824,1.36104908074312,6.8833,0.5295025132652236,-0.20000000000003176,3.0
20.0,10.4364,5.0428,5.3936,15.9292,7.4381,8.4911,1.4648722604909183,8.077,0.5466546990468902,-0.20000000000003176,4.0
20.0,10.2668,5.2467,5.0201,14.1645,7.2668,6.8977,1.334768228624649,7.1687,0.552672663146492,-0.20000000000003176,5.0
20.0,10.7479,5.2157,5.5322,16.2928,7.7805,8.5123,1.4614090145749614,7.9688,0.5345001055128572,-0.20000000000003176,6.0
20.0,10.4223,5.7273,4.695,15.9448,9.1805,6.7643,1.47407210324016,8.0996,0.5310702300928399,-0.20000000000003176,7.0
20.0,10.0253,4.8748,5.1505,15.2325,7.8054,7.4271,1.4585771987391603,7.7137,0.5404368232667839,-0.20000000000003176,8.0
20.0,10.8414,5.0103,5.8311,17.2169,8.2497,8.9672,1.5283622291787766,8.7439,0.5561198080848054,-0.20000000000003176,9.0
20.0,10.6877,5.4942,5.1935,15.5303,8.0567,7.4736,1.4069402793175245,7.4959,0.5312088858000426,-0.20000000000003176,10.0
20.0,10.3173,5.0488,5.2685,15.4023,7.6514,7.7509,1.4287018618154257,7.8815,0.5432312458915978,-0.20000000000003176,11.0
20.0,10.2629,5.3858,4.8771,14.9373,7.4016,7.5357,1.4013513512114595,7.3225,0.526524409497227,-0.20000000000003176,12.0
20.0,10.6597,5.3264,5.3333,15.7792,7.4621,8.3171,1.4217733212156367,7.883,0.5276284571256437,-0.20000000000003176,13.0
20.0,10.1028,5.203,4.8998,14.3353,7.4476,6.8877,1.3667310341775991,7.2835,0.5492760701668807,-0.20000000000003176,14.0
20.0,10.3021,5.261,5.0411,15.0025,7.6186,7.3839,1.3971724547811875,7.5177,0.5466371229200921,-0.20000000000003176,15.0
20.0,9.67,5.1525,4.5175,13.5499,7.4853,6.0646,1.3496941252523003,7.0561,0.5624801702882812,-0.20000000000003176,16.0
20.0,9.7321,4.7306,5.0015,13.4462,6.6767,6.7695,1.3309492422990175,6.7504,0.5346228981480223,-0.20000000000003176,17.0
20.0,9.6088,4.8126,4.7962,13.8327,6.7461,7.0866,1.3842448155705271,6.9731,0.5378470186037974,-0.20000000000003176,18.0
20.0,9.3788,4.5554,4.8234,13.1607,6.0745,7.0862,1.3543765368999008,6.7065,0.540116607629455,-0.20000000000003176,19.0
20.0,10.237,4.9288,5.3082,14.6658,7.1728,7.493,1.3784579405349235,7.427,0.547938954549623,-0.20000000000003176,20.0
20.0,10.2477,4.8047,5.443,15.1462,7.1204,8.0258,1.4153400438639778,7.719,0.5516456735326066,-0.20000000000003176,21.0
20.0,10.3107,5.3321,4.9786,15.5319,8.1373,7.3946,1.446555498482281,7.8153,0.5432945552096908,-0.20000000000003176,22.0
20.0,10.5713,5.3878,5.1835,16.0031,8.119,7.8841,1.456150771179582,8.1025,0.5502726511230778,-0.20000000000003176,23.0
20.0,10.0766,4.9472,5.1294,14.4099,7.1954,7.2145,1.3752056750200934,7.4857,0.5579461799837839,-0.20000000000003176,24.0
20.0,9.7843,4.7854,4.9989,13.4347,6.6624,6.7723,1.3228407597909622,6.8609,0.5559668146388212,-0.20000000000003176,25.0
20.0,10.0835,5.0132,5.0703,14.5928,7.7869,6.8059,1.398119448739698,7.4358,0.5554967192076882,-0.20000000000003176,26.0
20.0,9.2607,4.7776,4.4831,12.7744,6.5779,6.1965,1.3252644581554784,6.695,0.564128525420044,-0.20000000000003176,27.0
20.0,10.4138,5.2228,5.191,15.1097,7.751,7.3587,1.3952852859021356,7.5971,0.5355068417350337,-0.20000000000003176,28.0
20.0,9.4201,4.6761,4.744,13.3019,6.1469,7.155,1.3643752469465635,6.8151,0.5567243547676327,-0.20000000000003176,29.0
20.0,10.3022,4.9085,5.3937,15.7473,7.0808,8.6665,1.4677839148333514,7.9073,0.5319419466096464,-0.20000000000003176,30.0
20.0,9.6236,4.8911,4.7325,13.3524,6.9573,6.3951,1.3335557271405387,6.8462,0.5462823548141844,-0.20000000000003176,31.0
20.0,9.6198,4.7324,4.8874,14.1104,6.7846,7.3258,1.4054415807464602,7.361,0.5533870396675238,-0.20000000000003176,32.0
20.0,10.3133,5.3215,4.9918,15.2535,7.8238,7.4297,1.4208829403039447,7.7425,0.5488537477434443,-0.20000000000003176,33.0
20.0,9.8872,4.5762,5.311,14.1288,6.3228,7.806,1.3751731724506417,7.246,0.5532563822630556,-0.20000000000003176,34.0
20.0,10.4395,5.0698,5.3697,15.0878,7.2588,7.829,1.3959145956755383,7.4192,0.5310464602377808,-0.20000000000003176,35.0
20.0,10.013,4.8657,5.1473,14.2679,6.501,7.7669,1.3735796212292513,7.2887,0.544574207150321,-0.20000000000003176,36.0
20.0,10.4185,4.8905,5.528,15.8892,7.1615,8.7277,1.4570596858149993,8.1948,0.5450561138245729,-0.20000000000003176,37.0
20.0,9.3252,4.3497,4.9755,13.2671,5.9686,7.2985,1.3639100641341761,7.0173,0.562223670771132,-0.20000000000003176,38.0
20.0,10.0144,4.9895,5.0249,14.343,6.7567,7.5863,1.3830282769359739,7.2784,0.5498055751733811,-0.20000000000003176,39.0
20.0,9.8548,4.7529,5.1019,14.2868,7.0654,7.2214,1.3977669224523563,7.2776,0.5507959780373836,-0.20000000000003176,40.0
20.0,9.8335,4.8583,4.9752,13.7711,7.0037,6.7674,1.3508066625684982,6.8737,0.5379611327768442,-0.20000000000003176,41.0
20.0,9.9082,4.7931,5.1151,13.9934,7.0059,6.9875,1.3609925822345443,7.09,0.5490677000889848,-0.20000000000003176,42.0
20.0,10.1469,5.4653,4.6816,14.7294,7.8526,6.8768,1.400995811601048,7.636,0.5669939515411047,-0.20000000000003176,43.0
20.0,10.39,5.0653,5.3247,14.9162,7.1449,7.7713,1.380683575259416,7.4474,0.5461181276237366,-0.20000000000003176,44.0
20.0,9.8963,4.9138,4.9825,14.4305,7.2868,7.1437,1.4005431084754392,7.2977,0.537244834706433,-0.20000000000003176,45.0
20.0,10.4245,5.5614,4.8631,15.0607,7.9548,7.1059,1.3901260750794833,7.3997,0.522415746311114,-0.20000000000003176,46.0
20.0,9.9503,4.5526,5.3977,14.3192,6.4996,7.8196,1.386270398595976,7.1446,0.5376331369415548,-0.20000000000003176,47.0
20.0,10.2121,5.1892,5.0229,15.4453,7.654,7.7913,1.4556962047063735,7.8249,0.5476529709141473,-0.20000000000003176,48.0
20.0,9.997,4.5957,5.4013,14.437,6.3502,8.0868,1.3908333061538465,7.3438,0.5417476694094386,-0.20000000000003176,49.0
20.0,10.2601,5.381,4.8791,14.9398,7.6033,7.3365,1.4003124828412965,7.4774,0.5365221655474152,-0.20000000000003176,50.0
20.0,9.7791,4.8739,4.9052,13.726,6.7241,7.0019,1.3452535794275713,7.1786,0.5634579927121346,-0.20000000000003176,51.0
20.0,9.4053,4.78,4.6253,13.7387,6.9084,6.8303,1.4041725552480147,6.9577,0.5427182476817235,-0.20000000000003176,52.0
20.0,10.1303,4.9577,5.1726,15.0454,7.0581,7.9873,1.4253451133697432,7.6968,0.5514637442629459,-0.20000000000003176,53.0
20.0,10.534,4.8677,5.6663,16.2006,7.0325,9.1681,1.4829880888521003,8.0702,0.5398436669856547,-0.20000000000003176,54.0
20.0,9.9649,4.3938,5.5711,14.4683,6.177,8.2913,1.3895152148887513,7.4433,0.5320218599642973,-0.20000000000003176,55.0
20.0,10.6316,5.2406,5.391,16.8801,8.1814,8.6987,1.5167135223930515,8.4419,0.5255360176319657,-0.20000000000003176,56.0
20.0,10.2894,4.9326,5.3568,15.0382,6.9113,8.1269,1.4064510972987456,7.4936,0.5302190001539049,-0.20000000000003176,57.0
20.0,10.0396,5.2407,4.7989,14.9797,7.9202,7.0595,1.4336028903489855,7.6475,0.5479279321058659,-0.20000000000003176,58.0
20.0,10.1841,5.0161,5.168,15.2752,7.6555,7.6197,1.439039844247464,7.5246,0.5184556962048041,-0.20000000000003176,59.0
20.0,9.5142,4.9655,4.5487,13.6086,7.1628,6.4458,1.3843650692842702,6.9476,0.5587256055244865,-0.20000000000003176,60.0
