trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
pre,20.0,10.4027,5.1811,5.2216,69.1498,34.652,34.4978,6.644163829145587,6.1776,0.12328523904109531,-0.10000000000001588,78
post,20.0,10.7169,5.6874,5.0295,16.0194,8.3917,7.6277,1.4926005519467698,9.7102,0.5847060048481343,-0.10000000000001588,88
pre,20.0,10.7259,5.6561,5.0698,108.1073,58.0824,50.0249,10.473992563053617,8.8117,0.0851529682158855,-0.10000000000001588,88
post,20.0,10.0022,4.6189,5.3833,14.7316,6.3384,8.3932,1.4685645939599676,9.113,0.6006397283054,-0.10000000000001588,33
pre,20.0,10.0119,4.6122,5.3997,28.1324,12.3157,15.8167,2.7493548948974182,6.435,0.24873180373611517,-0.10000000000001588,33
post,20.0,10.1878,4.8443,5.3435,14.6526,6.6103,8.0423,1.4412217105894745,8.7792,0.5822497414571897,-0.10000000000001588,3
pre,20.0,10.1715,4.8706,5.3009,79.1054,35.7772,43.3282,8.01635288987152,8.1718,0.11494404692263484,-0.10000000000001588,3
post,20.0,9.9968,4.9531,5.0437,14.2122,6.7763,7.4359,1.4226910335059753,9.0304,0.617256913286377,-0.10000000000001588,40
pre,20.0,10.0522,5.0098,5.0424,44.8972,19.5463,25.3509,4.401468365760069,7.0896,0.19621579515966037,-0.10000000000001588,40
post,20.0,10.1437,5.0313,5.1124,15.4487,7.4774,7.9713,1.5215119310917877,9.7583,0.6151733400035245,-0.10000000000001588,64
pre,20.0,10.1207,4.9818,5.1389,74.4592,34.9901,39.4691,7.496203629633608,6.3836,0.09796594568241786,-0.10000000000001588,64
post,20.0,9.655,4.9868,4.6682,14.6763,7.5067,7.1696,1.5153407224479214,9.2221,0.6046902947422761,-0.10000000000001588,81
pre,20.0,9.6777,4.9022,4.7755,37.3742,19.1618,18.2124,3.8391899568568695,4.9568,0.15714426241868532,-0.10000000000001588,81
post,20.0,10.0367,5.1326,4.9041,15.2818,8.075,7.2068,1.518118795824497,9.9978,0.6255731495283327,-0.10000000000001588,4
pre,20.0,10.0197,5.1223,4.8974,57.9009,31.6243,26.2766,5.896293109104938,6.9309,0.1388152539203436,-0.10000000000001588,4
post,20.0,9.5796,4.6983,4.8813,13.7037,6.539,7.1647,1.4239054354387575,8.7899,0.6167683240385795,-0.10000000000001588,25
pre,20.0,9.5596,4.6799,4.8797,38.9544,17.9865,20.9679,4.063643220056077,5.5984,0.16152366004859833,-0.10000000000001588,25
post,20.0,9.8671,4.7172,5.1499,14.1085,6.6467,7.4618,1.422591769622278,8.8643,0.6053792164778004,-0.10000000000001588,63
pre,20.0,9.8854,4.7631,5.1223,42.3128,19.3031,23.0097,4.310359674063902,6.0358,0.15865992715560354,-0.10000000000001588,63
post,20.0,10.6103,5.7862,4.8241,16.3556,9.0398,7.3158,1.5366794428069468,10.4354,0.6112732142631536,-0.10000000000001588,28
pre,20.0,10.6583,5.7998,4.8585,75.0121,41.6435,33.3686,7.214253175755259,8.7113,0.11829970961761575,-0.10000000000001588,28
