Gamma,Assortativity
0.3,0.09784516588737498
0.3,0.16233284862634242
0.3,0.07012535881247788
0.3,0.09138584459687947
0.3,0.09989237094057257
0.3,0.15776370892028907
0.3,0.055220542146989696
0.3,0.10345640946739362
0.3,0.14218707021721413
0.3,0.16872626794228343
0.3,0.07291373880459613
0.3,0.05426944422862837
0.3,0.05465640710757852
0.3,0.08372087662364897
0.3,0.06842999679546359
0.3,0.12704263486853268
0.3,0.07555938588041913
0.3,0.06748924304013798
0.3,0.004339703759395993
0.3,0.08698708536940622
0.3,0.12305862918606418
0.3,0.09945378437963528
0.3,0.12562586404318346
0.3,0.11355143015100419
0.3,0.0641423062089899
0.3,0.1074032098736556
0.3,0.06253522239376294
0.3,0.08345901013624346
0.3,0.10805095473136699
0.3,0.13418652129861214
0.3,0.040342436666121646
0.3,0.0203750923368119
0.3,0.1479019614070843
0.4,0.15118189791853012
0.4,0.07501510588251846
0.4,0.08636510734050004
0.4,0.06096502371851316
0.4,0.051386350655005006
0.4,0.04470926434844751
0.4,0.17481764768985572
0.4,0.09267940313425738
0.4,0.06249686882300466
0.4,0.06942773579966473
0.4,0.07059493669714076
0.4,0.09169954224027235
0.4,0.08378853626273858
0.4,0.09441886873697106
0.4,0.12847444080509984
0.4,0.11169558099989879
0.4,0.0855302191453298
0.4,0.09785889006272329
0.4,0.08438489269867194
0.4,0.06902376751266137
0.4,0.05769589884993968
0.4,0.04332620164203785
0.4,0.0763181155863722
0.4,0.022759827654023235
0.4,0.05697125627885152
0.4,0.01959718354113916
0.4,0.13956691516232766
0.4,0.12319863580512215
0.4,0.07265949506000191
0.4,0.10134054893520321
0.4,0.11833385970532682
0.4,-0.006070217158014454
0.4,0.0735376392846658
0.4,0.03815694937401441
0.4,0.08756655890757636
0.4,0.08286341807786499
0.4,0.0431347143969187
0.4,0.06032435549765785
0.4,0.08262404360487283
0.4,0.060583473176971374
0.4,0.09891516353686916
0.4,0.11460212212244286
0.4,0.03779603514418712
0.4,0.08474196103288766
0.4,0.04811405587756449
0.4,0.07980938829030657
0.4,0.07136880543587493
0.4,0.07579843946840116
0.4,0.0996372334959953
0.4,0.10865204108685154
0.4,0.07326956030750749
0.4,0.06177037209888654
0.4,0.025980704939647603
0.4,0.05002538374256009
0.4,0.11691079415407774
0.4,0.08006228858115472
0.4,0.12053208811722875
0.4,0.12614936485974035
0.4,0.13100653304733456
0.4,0.05905017789780216
0.4,0.03745842478727883
0.4,0.05772792041287784
0.4,0.10447551019400758
0.4,0.11018877994977831
0.4,0.09132287397897886
0.4,0.17452033565318953
0.4,0.07885651677964906
0.4,0.0729220746741675
0.4,0.13132077984327795
0.4,0.0826409613927483
0.4,0.028545226525170744
0.4,0.03460742715854202
0.4,0.07953468172533863
0.4,0.056377611894721756
0.4,0.0617593184421395
0.4,0.08061110573622678
0.4,0.10091745948009598
0.4,0.14456124612674734
0.4,0.08373600777432157
0.4,0.06481157950404103
0.4,0.06825565088385369
0.4,0.052885228335974255
0.4,0.09682001768012365
0.4,0.04831912772539588
