gamma,replicate,size_begin,size_end,size_diff,bias_begin,bias_end,bias_diff
1.0,33.0,28.4982,18.5842,-9.914000000000001,0.22948689097249497,0.2893978177639911,0.05991092679149612
1.0,34.0,38.4528,25.677,-12.775800000000004,0.12347307858781544,0.16539607595578698,0.041922997367971546
1.0,35.0,26.803,19.8714,-6.9315999999999995,0.178918982997615,0.20591543167265075,0.026996448675035756
1.0,36.0,38.9884,28.951,-10.037399999999998,0.32594753582519004,0.26088711320809826,-0.06506042261709177
1.0,37.0,29.4842,26.3012,-3.183,0.19388650110232333,0.1668169929205998,-0.027069508181723545
1.0,38.0,30.7848,24.726,-6.0588000000000015,0.15062969008285162,0.17444612752666633,0.023816437443814703
1.0,39.0,39.0982,35.5552,-3.5429999999999993,0.22012695003796104,0.25118033340769175,0.031053383369730708
1.0,40.0,23.7716,21.2656,-2.5060000000000002,0.21161336631676006,0.22183637042051846,0.010223004103758399
1.0,41.0,42.5628,27.9376,-14.625200000000003,0.24544364979258615,0.2843840528580015,0.03894040306541535
1.0,42.0,32.957,28.453,-4.504000000000001,0.22391216961468222,0.2553785433222175,0.03146637370753527
1.0,43.0,27.4214,24.9244,-2.497,0.3037642625688637,0.34284136225194184,0.039077099683078154
1.0,44.0,35.8588,27.4656,-8.393200000000004,0.14017706894927298,0.1741861050881479,0.03400903613887493
1.0,45.0,41.3956,33.5898,-7.805800000000005,0.12588448425971296,0.12587111144413451,-1.3372815578449604e-05
1.0,46.0,25.785,24.6242,-1.1608000000000018,0.2136713711777913,0.21694777355291736,0.003276402375126053
1.0,47.0,40.5138,29.469,-11.044800000000002,0.13669624739506084,0.16501483972327358,0.02831859232821274
1.0,48.0,22.9124,18.6592,-4.253200000000003,0.20804130429746012,0.2179584705554494,0.009917166257989274
1.0,49.0,38.5628,29.3098,-9.253000000000004,0.19287064879284344,0.18786834860678533,-0.005002300186058101
1.0,50.0,26.336,25.0038,-1.3322000000000003,0.20566940872166653,0.18709157546130553,-0.018577833260361
1.0,51.0,42.3704,29.1852,-13.185199999999998,0.20688003974857672,0.24611021208383935,0.03923017233526263
1.0,52.0,35.9536,27.5918,-8.361800000000002,0.13592158242561503,0.15550030212783506,0.019578719702220027
1.0,53.0,35.7762,30.0938,-5.682400000000001,0.1394710153165475,0.12224771728164717,-0.017223298034900317
1.0,54.0,41.3514,30.4162,-10.935199999999998,0.20909458134979303,0.2110886044711093,0.001994023121316274
1.0,55.0,48.2972,28.6758,-19.621399999999998,0.14010302754013698,0.21963330230419056,0.07953027476405358
1.0,56.0,27.5816,25.0834,-2.4982000000000006,0.1532787136419408,0.1802539701157104,0.02697525647376961
1.0,57.0,36.9816,29.724,-7.2576,0.16377906222852223,0.14544380555787323,-0.018335256670649003
