gamma,assort_final,assort_initial
-0.3,-0.005507999976898438,-0.005025125628140696
-0.3,-0.0015757453506444273,-0.005025125628140704
-0.3,-0.0031393921405246604,-0.005025125628140711
-0.3,0.000736059796479273,-0.005025125628140704
-0.3,-0.0010049492670971831,-0.005025125628140733
-0.3,-0.003805277396357972,-0.005025125628140711
-0.3,-0.004554041498398576,-0.005025125628140704
-0.3,-0.0020556965982991278,-0.005025125628140704
-0.3,-0.0011549786885548413,-0.005025125628140783
-0.3,-0.00028928864702716363,-0.005025125628140674
-0.3,-0.0023721094306536792,-0.005025125628140696
-0.3,-0.0035404202813342687,-0.005025125628140704
-0.3,-0.0036095572263791786,-0.00502512562814062
-0.3,-0.004291503226685575,-0.005025125628140677
-0.3,-0.004470601223853563,-0.005025125628140636
-0.3,-0.00402646808710506,-0.005025125628140711
-0.3,-0.003636796093073218,-0.005025125628140674
-0.3,-0.0014402057185333265,-0.005025125628140677
-0.3,-0.00014408359215029433,-0.005025125628140622
-0.3,-0.002112615349967223,-0.005025125628140704
-0.3,-0.004095097799007049,-0.005025125628140659
-0.3,-0.0010032514357480675,-0.005025125628140704
-0.3,-0.0004909307636229474,-0.005025125628140674
-0.3,-0.0032319784360690484,-0.005025125628140783
-0.3,0.00016316664790473942,-0.005025125628140674
-0.3,-0.003570342537399433,-0.005025125628140704
-0.3,-0.0037016854846101794,-0.005025125628140696
-0.3,-0.0018700168865636688,-0.005025125628140659
-0.3,-0.0022343301018851788,-0.005025125628140674
-0.3,-0.004717856565514772,-0.005025125628140622
-0.3,-0.0017955710264781015,-0.005025125628140696
-0.3,0.0014720307398044018,-0.005025125628140749
-0.3,-0.0025127455284545456,-0.005025125628140749
-0.3,-0.0030953851630681384,-0.005025125628140783
-0.3,-0.003838788066307216,-0.005025125628140704
-0.3,0.0011561536648263114,-0.005025125628140636
-0.3,0.0014680301439373533,-0.005025125628140636
-0.3,-0.0038484881734893025,-0.005025125628140704
-0.3,0.00026875938263739717,-0.005025125628140783
-0.3,-0.0026102346529085973,-0.005025125628140749
-0.3,-0.003863383472685536,-0.005025125628140783
-0.3,-0.00019279270507561647,-0.005025125628140636
-0.3,-0.0007598824215049451,-0.005025125628140659
-0.3,-0.0002751883198970328,-0.005025125628140733
-0.3,-0.0041977822438143296,-0.005025125628140622
-0.3,-0.003700865711941658,-0.005025125628140733
-0.3,0.002818069940339931,-0.005025125628140711
-0.3,-0.0008256355993330932,-0.005025125628140749
-0.3,-0.00486313999058252,-0.0050251256281407695
-0.3,-0.003922540581393177,-0.005025125628140749
-0.3,-0.001355498179573705,-0.005025125628140622
-0.3,-0.0034612892634511092,-0.005025125628140696
-0.3,-0.003269582554820772,-0.0050251256281407695
-0.3,-0.004350569788281023,-0.005025125628140749
-0.3,-0.001334841333706161,-0.0050251256281407695
-0.3,-0.0027901101757249144,-0.005025125628140733
-0.3,-0.0012514165933777558,-0.005025125628140674
-0.3,-0.0029427691855866524,-0.005025125628140704
-0.3,-0.0007465992070130155,-0.005025125628140636
-0.3,-0.00160346232004649,-0.005025125628140783
-0.3,-0.0021676638830539123,-0.005025125628140674
-0.3,0.00034832568827266057,-0.005025125628140733
-0.3,-0.0026306323268944693,-0.005025125628140696
-0.3,-0.003276584196690967,-0.005025125628140636
-0.3,-0.0019734174117458886,-0.005025125628140674
-0.3,-0.004597532275287683,-0.005025125628140733
-0.3,-0.0023824083908100557,-0.005025125628140711
-0.3,-0.0057110828847890755,-0.005025125628140733
-0.4,-0.0021718426228467323,-0.005025125628140749
-0.4,-0.0025610047821010436,-0.005025125628140677
-0.4,0.0010561681956727917,-0.005025125628140696
-0.4,-0.0022755165722257798,-0.005025125628140704
-0.4,-0.004564442256827981,-0.005025125628140749
