gamma,assort_final,assort_initial
-0.2,0.0032413646473925146,-0.005025125628140783
-0.2,0.007189762764041202,-0.005025125628140677
-0.2,0.0029326096625776114,-0.005025125628140704
-0.2,0.02070263374737337,-0.005025125628140704
-0.2,0.0028591554621204855,-0.005025125628140733
-0.2,0.0015199708273084275,-0.005025125628140704
-0.2,-0.00018373950248511394,-0.005025125628140733
-0.2,-0.0016698056318680031,-0.005025125628140749
-0.2,-0.00024277904811642942,-0.005025125628140677
-0.2,-1.7123659493829364e-05,-0.005025125628140659
-0.2,-0.0015013911039693574,-0.005025125628140696
-0.2,-0.0008488387525147751,-0.005025125628140733
-0.2,-0.0008776219056041406,-0.005025125628140783
-0.2,0.0006306365963560668,-0.005025125628140704
-0.2,0.00018228682719974678,-0.005025125628140783
-0.2,0.004280551997056066,-0.005025125628140704
-0.2,-0.0006602430869393326,-0.005025125628140704
-0.2,-0.002142845681001023,-0.005025125628140696
-0.2,-0.0024195155379591743,-0.005025125628140696
-0.2,0.001194433879539621,-0.005025125628140783
-0.2,0.0029616491015694206,-0.005025125628140711
-0.2,0.0038777295499364197,-0.005025125628140659
-0.2,0.00012268586236842204,-0.005025125628140704
-0.2,0.0023224675817054303,-0.005025125628140704
-0.2,0.006730763131595765,-0.005025125628140696
-0.2,-0.002779409479346503,-0.005025125628140696
-0.2,0.007919643706295075,-0.005025125628140704
-0.2,-0.00014800134006373052,-0.005025125628140783
-0.2,0.002989910067509462,-0.005025125628140783
-0.2,0.0026699922684819796,-0.005025125628140749
-0.2,0.005405520898442238,-0.005025125628140674
-0.4,0.003606110758282838,-0.005025125628140749
-0.4,0.0025962579861488417,-0.005025125628140677
-0.4,0.007088616521013923,-0.005025125628140696
-0.4,0.0024042123412575268,-0.005025125628140704
-0.4,0.00422844168953384,-0.005025125628140749
-0.4,-0.0029733269829105083,-0.005025125628140659
-0.4,0.00772526170245093,-0.005025125628140711
-0.4,0.0006199159632642205,-0.005025125628140696
-0.4,0.0034544689244305643,-0.005025125628140622
-0.4,0.005116044230953087,-0.005025125628140636
-0.4,0.0015674578013398673,-0.005025125628140733
-0.4,-0.0009853541301007667,-0.005025125628140733
-0.4,0.006338878086388705,-0.005025125628140783
-0.4,0.00439928129782625,-0.005025125628140704
-0.4,0.0025739642021386767,-0.005025125628140711
-0.4,0.010584256060011305,-0.005025125628140711
-0.4,0.0006890370449853456,-0.005025125628140704
-0.4,0.005457576756302014,-0.005025125628140733
-0.4,0.001909338463050137,-0.005025125628140622
-0.4,0.011943985271416508,-0.005025125628140622
-0.4,0.005527453160196678,-0.005025125628140677
-0.4,0.0009159324379632402,-0.005025125628140659
-0.4,0.0018677597778568743,-0.005025125628140636
-0.4,0.005502581382542536,-0.005025125628140677
-0.4,-0.004176223418445536,-0.005025125628140704
-0.4,0.005711731937651412,-0.005025125628140696
-0.4,0.0003954893431824285,-0.005025125628140704
-0.4,0.004651839524128907,-0.005025125628140704
-0.4,0.02113901009874259,-0.005025125628140674
-0.4,0.0002463899596374334,-0.005025125628140622
-0.4,0.0004052073483955527,-0.005025125628140704
-0.4,0.0037485911116294686,-0.005025125628140659
-0.4,0.004931986670104909,-0.005025125628140783
-0.4,0.006633666585119676,-0.005025125628140704
-0.4,0.006422280602729128,-0.005025125628140659
-0.4,-0.000318179324007386,-0.005025125628140696
-0.4,0.00996794034316965,-0.005025125628140749
-0.4,0.0032962631672611995,-0.005025125628140659
-0.4,-0.0011540524813448455,-0.00502512562814062
-0.4,0.0025982502255924305,-0.005025125628140696
-0.4,-0.0007236333484258997,-0.005025125628140674
-0.4,0.0020174452120256575,-0.005025125628140674
-0.4,-0.0014395166412294333,-0.005025125628140622
-0.4,-0.002008633645442038,-0.005025125628140622
-0.4,0.001930237014014248,-0.005025125628140659
-0.4,0.0010751221093164172,-0.005025125628140704
-0.4,0.0035355908536387408,-0.005025125628140622
-0.4,-0.0016386672435305535,-0.005025125628140674
-0.4,-0.0006335705755750213,-0.005025125628140696
-0.4,0.0014802032283922283,-0.005025125628140696
-0.4,0.0012204300429019084,-0.005025125628140783
-0.4,0.0058555884491164525,-0.005025125628140783
