Gamma,Assortativity
0.8,0.10715046700887469
0.8,0.06842540837840756
0.8,0.00291045029423153
0.8,0.05610930137644949
0.9,0.0575445106129422
0.9,0.036179717966876974
0.9,-0.03075590403380433
0.9,0.04541346142777631
0.9,0.0288102145636439
0.9,0.028603837788918625
0.9,-0.026224551943106772
0.9,0.03626214150686778
0.9,0.01747342272902097
0.9,0.045432750514365614
0.9,0.037111627776070695
0.9,0.05595917339262825
0.9,-0.05456845553949689
0.9,0.07361733952229801
0.9,-0.01332375408710407
0.9,0.05307544222476165
0.9,0.023637662243456058
0.9,0.04755395541825394
0.9,0.049460881416173885
0.9,0.09026792475344939
0.9,0.042340553797504024
0.9,0.03484028121914845
0.9,0.009375558021984498
0.9,0.0030017236513633972
0.9,-0.030547373327292696
0.9,0.0042035785294166315
0.9,0.028013529266956487
0.9,0.01562634366142989
0.9,0.024839387589546826
0.9,-0.01799067455292722
0.9,0.0023143460159925767
0.9,0.08065252403522938
0.9,0.02444958481532526
0.9,0.04799269031007557
0.9,0.02810558674950341
0.9,0.06396192520544391
0.9,0.012702354363669392
0.9,0.026370860476091593
0.9,0.0016778747859289747
0.9,0.012489532261264865
0.9,0.034638557423561846
0.9,0.06296586472559647
0.9,0.04144791602543657
0.9,0.029465215359505
0.9,0.012182984817424943
0.9,0.018691605444209395
0.9,0.01723000149933688
0.9,0.017591979885341634
0.9,-0.04638704396782433
0.9,-0.007440153156491384
0.9,-0.006440228295786924
0.9,-0.06693868522923213
0.9,0.050843984998878274
0.9,0.05139738803044988
0.9,-0.005348349913644964
0.9,0.11339138959870211
0.9,0.026965386814211696
0.9,0.05825691130371164
0.9,0.04298754473874581
0.9,0.03365105116985802
0.9,-0.0029411160452542037
0.9,0.0756269856651293
0.9,0.0527334335867504
0.9,0.004938743588273172
0.9,0.03486946312481239
0.9,0.04063765704165449
0.9,0.013842039645379086
0.9,0.09024829404798691
0.9,0.0724069605188262
0.9,-0.01248328644404224
0.9,0.021587099949549597
0.9,-0.01032382960988616
0.9,-0.01053528714344885
0.9,0.03788575132149326
0.9,0.04827721537850961
0.9,0.047435849444135474
0.9,0.04449643137676949
0.9,0.026906518049645854
0.9,0.03524262554252678
0.9,0.023354378684223256
0.9,-0.008496868142640675
0.9,0.031052517292845378
0.9,0.08591788163833675
0.9,0.048415691836002146
0.9,0.09244982539683073
0.9,0.03524266305906734
0.9,0.033165438817173064
0.9,-0.012964651738086719
0.9,0.026363723330009324
0.9,0.04946303116585689
0.9,0.008047609961314853
0.9,-0.043646458142198925
0.9,0.09547062740580185
0.9,0.0822038926374613
0.9,-0.0027635732501245106
0.9,0.03626771698253254
0.9,0.011416921024173495
0.9,0.019954569827413376
0.9,0.012868333299087023
0.9,0.025574196217866215
-0.9,0.22822482910819103
-0.9,0.20410946449891645
-0.9,0.1776741909513266
-0.9,0.13102602877627026
-0.9,0.19467303696024274
-0.9,0.1974147661264843
-0.9,0.16040958315672457
-0.9,0.17046410200305145
-0.9,0.21244252530873248
-0.9,0.20115861003929658
-0.9,0.1747745614509282
-0.9,0.1661184210526315
-0.9,0.22747437226814773
-0.9,0.1972672792576949
-0.9,0.2189958530965127
-0.9,0.1443549336152412
-0.9,0.12078482044485417
-0.9,0.20189879679588116
-0.9,0.19037399490657284
-0.9,0.23789712414318692
-0.9,0.19813178285122432
-0.9,0.22101074226069256
-0.9,0.18148737397458523
-0.9,0.16787489890493462
-0.9,0.14906537955295965
-0.9,0.10472432864411986
