true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
1304.6,3558.825,5135.68,0.895,0.18856924487383475,0.00016958599070208058,1.0,7.0
1141.155,3850.15,5008.545,0.15,0.1717815117974163,3.1323415797784466e-05,1.0,8.0
1018.185,3485.62,5495.965,0.23,0.1612989547639496,7.070305954925934e-05,1.0,9.0
881.77,4012.365,5103.3,2.565,0.14029458277752957,0.010151547603828234,0.29999999999999893,0.0
1069.76,3890.34,5039.34,0.56,0.15714618971340535,0.006156167412417035,0.29999999999999893,1.0
957.08,4202.975,4838.955,0.99,0.1462595532249606,0.010319494044892187,0.29999999999999893,2.0
779.235,3942.435,5277.81,0.52,0.13017104530314835,0.0034298416247864455,0.29999999999999893,3.0
1097.21,4165.475,4736.54,0.775,0.1592188714368168,0.010131536080148239,0.29999999999999893,4.0
829.925,3843.96,5325.195,0.92,0.1351846965717241,0.0054197697942301925,0.29999999999999893,5.0
862.565,4010.085,5125.4,1.95,0.14179626367583878,0.004776111195407717,0.29999999999999893,6.0
980.22,4252.93,4765.985,0.865,0.1516747123783771,0.0026579606575303496,0.29999999999999893,7.0
1002.25,4110.63,4885.5,1.62,0.15211753520588558,0.0025005178689038003,0.29999999999999893,8.0
730.49,3681.31,5587.72,0.48,0.1319000314243058,0.0018981306994240942,0.29999999999999893,9.0
943.97,4070.45,4984.93,0.65,0.14513098882875397,0.005484924675960279,0.29999999999999893,0.0
811.07,3752.42,5436.065,0.445,0.1350949084186895,0.004076841532022678,0.29999999999999893,1.0
760.76,4028.01,5210.635,0.595,0.1333441531969264,0.0013501282794726246,0.29999999999999893,2.0
909.15,4200.7,4889.545,0.605,0.1434458478077832,0.0020905004699447796,0.29999999999999893,3.0
1208.24,4254.565,4536.18,1.015,0.17006314920062016,0.023698500801730946,0.29999999999999893,4.0
1123.72,4013.425,4860.425,2.43,0.170779397342612,0.004944691989156861,0.29999999999999893,5.0
937.02,4158.745,4903.465,0.77,0.1454296650269797,0.0026043591340360163,0.29999999999999893,6.0
992.675,4033.285,4973.36,0.68,0.15746635399104117,0.005928991693248406,0.29999999999999893,7.0
904.63,3846.095,5246.37,2.905,0.14349945492290092,0.0029456884309959834,0.29999999999999893,8.0
1111.69,4512.355,4372.805,3.15,0.15912030095683802,0.010038912991266287,0.29999999999999893,9.0
839.35,4052.57,5106.96,1.12,0.1391926437612446,0.002706056014423808,0.29999999999999893,0.0
901.915,3904.375,5192.25,1.46,0.14553309008300055,0.0008818607572893029,0.29999999999999893,1.0
914.995,3920.575,5159.705,4.725,0.14594572469845915,0.004119137904343124,0.29999999999999893,2.0
952.505,4366.21,4680.115,1.17,0.14442626000266212,0.0023889577735903486,0.29999999999999893,3.0
930.055,4071.465,4997.995,0.485,0.14818749439562734,0.0010168338691690262,0.29999999999999893,4.0
1077.13,4119.97,4802.12,0.78,0.16063211279854314,0.0028965578714853593,0.29999999999999893,5.0
937.825,3886.935,5172.815,2.425,0.1497230592321369,0.004639169287893463,0.29999999999999893,6.0
894.92,4205.79,4898.675,0.615,0.14724928227886802,0.0010519031374200613,0.29999999999999893,7.0
1108.735,4317.425,4572.79,1.05,0.16159396041495563,0.004486167690569521,0.29999999999999893,8.0
1026.77,4050.11,4922.17,0.95,0.15596945150703348,0.008092567812711638,0.29999999999999893,9.0
951.915,4177.66,4864.87,5.555,0.15244929979904578,0.002851001634748137,0.29999999999999893,0.0
1126.785,3975.09,4897.265,0.86,0.16503905831711868,0.004728416434208634,0.29999999999999893,1.0
1253.53,4138.175,4606.09,2.205,0.17596956789423335,0.01184782819124132,0.29999999999999893,2.0
888.89,3932.69,5178.04,0.38,0.14257568685888064,0.0026867120761862764,0.29999999999999893,3.0
955.1,4339.865,4703.875,1.16,0.1480344335092378,0.0010020697341871871,0.29999999999999893,4.0
1195.96,4027.635,4772.9,3.505,0.17021890896523637,0.005729670321442243,0.29999999999999893,5.0
