gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.1,31.0,42.0,0.0,0.003708808451185819,1.0,9.0,0.06019726129263013,0.4798752507393738,0.6978293377825018,1.0,5.0,0.0,4.0
-0.1,31.0,43.0,0.0,0.03613646781393309,6.0,5.0,0.3721049984624742,0.3110198650165587,0.5529886975671652,3.0,1.0,0.0,1.0
-0.1,31.0,44.0,1.0,0.06171465238040541,10.0,7.0,0.5521413352546752,0.3331171044531677,0.6551227093087008,8.0,1.0,0.0,4.0
-0.1,31.0,45.0,1.0,0.6976461392417576,9.0,9.0,0.5068115638177977,0.5141793777298812,0.05587623659706622,1.0,0.0,1.0,2.0
-0.1,31.0,46.0,0.0,0.31658597202962924,5.0,9.0,0.19866889139397068,0.4276576962836297,0.4487935628891244,1.0,5.0,1.0,1.0
-0.1,31.0,47.0,0.0,0.5890818060633135,11.0,10.0,0.4765644844972359,0.4898943058257769,0.09759968215424882,3.0,0.0,0.0,2.0
-0.1,31.0,48.0,0.0,0.3535389312486462,1.0,6.0,0.059599884520030226,0.4178438662224907,0.49843107934083114,0.0,0.0,0.0,5.0
-0.1,31.0,49.0,0.0,0.2052663514131885,4.0,10.0,0.22007350543096377,0.5493635438669012,0.3212490445695376,0.0,2.0,1.0,5.0
-0.1,31.0,50.0,1.0,0.40789677315986117,16.0,10.0,0.8535751010504089,0.5830243978084096,0.17582012997239238,3.0,0.0,4.0,1.0
-0.1,31.0,51.0,1.0,0.14457498444090988,2.0,8.0,0.11045566122370212,0.3742821714801428,0.5971199206007327,0.0,1.0,0.0,5.0
-0.1,31.0,52.0,1.0,0.9665494173508733,12.0,10.0,0.6337438960275458,0.48384423864643356,0.17998608489240275,3.0,0.0,1.0,2.0
-0.1,31.0,53.0,1.0,0.2529552924008943,9.0,7.0,0.507560751727742,0.43679754335789867,0.37761152739921944,2.0,0.0,0.0,0.0
