gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,44.0,80.0,0.0,0.17492118106452959,8.0,8.0,0.46831073957418495,0.37284510435000595,0.5174724359773011,3.0,2.0,1.0,2.0
0.2,44.0,81.0,0.0,0.8962057116013938,13.0,14.0,0.7443214874467073,0.9356402572210121,0.24813793396351375,1.0,0.0,1.0,3.0
0.2,44.0,82.0,0.0,0.9336107981862072,13.0,10.0,0.6520057199280969,0.5203589194261514,0.36036121976615976,3.0,0.0,0.0,0.0
0.2,44.0,83.0,0.0,0.4943340275883821,5.0,7.0,0.29340058671869945,0.36114401365620646,0.4587665999578355,1.0,0.0,0.0,3.0
0.2,44.0,84.0,1.0,0.055098309153148284,3.0,5.0,0.19462371914119628,0.3773726065693379,0.5471448895516389,2.0,1.0,0.0,3.0
0.2,44.0,85.0,1.0,0.5588339212800552,10.0,6.0,0.37241212509200233,0.2281773368303609,0.2663056434625885,3.0,1.0,3.0,1.0
0.2,44.0,86.0,1.0,0.7327380069811344,8.0,5.0,0.3430800240104051,0.2563370191176986,0.3763840576802584,3.0,0.0,1.0,1.0
0.2,44.0,87.0,0.0,0.4312893857706016,11.0,6.0,0.6249403613858499,0.2934575704297847,0.47469759554329954,5.0,0.0,1.0,1.0
0.2,44.0,88.0,0.0,0.7703071580503326,12.0,14.0,0.6046041369124456,0.7945105495459233,0.3335347464109961,2.0,1.0,1.0,4.0
0.2,44.0,89.0,0.0,0.16956171339338033,6.0,8.0,0.340290296913278,0.4374451958573131,0.4792808308237567,1.0,1.0,0.0,2.0
0.2,44.0,90.0,1.0,0.6837274343330326,8.0,4.0,0.3157044855875654,0.19320322654151098,0.1817428876214694,3.0,0.0,2.0,1.0
0.2,44.0,91.0,1.0,0.6169020893984374,8.0,7.0,0.321415227435162,0.38971144221566884,0.26199927998093364,1.0,0.0,1.0,1.0
0.2,44.0,92.0,1.0,0.27114969649217513,4.0,8.0,0.20675044517304114,0.3582015890311906,0.08335580739109627,1.0,2.0,1.0,4.0
0.2,44.0,93.0,0.0,0.5603760083663158,16.0,12.0,0.8157686282855043,0.6391765100634509,0.144721099900865,2.0,0.0,4.0,2.0
0.2,44.0,94.0,1.0,0.30323958600918,5.0,10.0,0.26584917533298225,0.6616863920489358,0.3954664628118368,1.0,3.0,1.0,4.0
0.2,44.0,95.0,1.0,0.671438515525947,12.0,7.0,0.4643624992443036,0.26632088585123664,0.3229074207880721,3.0,0.0,3.0,1.0
