gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,46.0,0.30965051057097664,-0.06778196117412266,-0.20856886838477878,-0.040815477125735786
-0.1,47.0,0.3773693856543897,0.04940587867417152,-0.19344872900109272,0.0751971365020054
-0.1,48.0,0.3743535407048612,-0.03263069232199696,-0.28228909141292163,0.02405869251252961
-0.1,49.0,0.3898627191118003,0.027243131389382485,-0.21392874993716138,-0.015959171730814136
-0.1,50.0,0.41110044339751195,0.027486324026431457,-0.2774201886335888,-0.054540663568686046
-0.1,51.0,0.34200199659699515,0.03995375693488898,-0.17576419710294977,0.03826861901865811
-0.1,52.0,0.3080929311414587,0.01215270993708731,-0.19533283687804281,0.02095480487065499
-0.1,53.0,0.38749138659762394,0.0,-0.25907535211542443,-0.008662010835034751
-0.1,54.0,0.3311545185072585,-0.06010601060106015,-0.2138821211557961,-0.016315303996397468
-0.1,55.0,0.38277800080289015,0.019699783058561748,-0.23285537842004245,0.013743272920764943
-0.1,56.0,0.31479015448481096,0.029993937462108957,-0.15101953880882854,0.005281699357467662
-0.1,57.0,0.3659932433173214,-0.006062653677947206,-0.25854276443886726,-0.030965008865297888
-0.1,58.0,0.36628703377558625,-0.005157055789967267,-0.22215854280550282,0.009098478825831698
-0.1,59.0,0.4024915975380902,-0.04516330676668231,-0.29307161692551303,-0.030057603900761346
-0.1,60.0,0.36714302911486035,0.015159464915839053,-0.21877788692829733,-0.02659991345767782
-0.1,61.0,0.420666954034249,0.01215270993708731,-0.22494987830682886,0.04417688897008144
-0.1,62.0,0.36356404136833725,0.016207234819505197,-0.24269733351531844,-0.0077372446994501826
-0.1,63.0,0.32998640211167213,-0.07567229518449013,-0.26281508010008575,-0.05297430333632278
-0.1,64.0,0.37953077014492187,0.02121381377716664,-0.2298792360056318,-0.07068229578557086
-0.1,65.0,0.3599959999749997,-0.0809728755880292,-0.24826763442912778,0.002081960582716478
-0.1,66.0,0.36098133219729994,-0.05250164453381963,-0.21177464715595828,-0.029546056310025944
-0.1,67.0,0.2820052567472272,-0.025745522943688762,-0.13690324212031277,0.08975980365801327
-0.1,68.0,0.3532173051974504,0.014993843711523337,-0.19138961415894046,0.004700441798293458
-0.1,69.0,0.39558760139503907,-0.01729527245848443,-0.2619459201976951,-0.006747278510458514
-0.1,70.0,0.3473276537085573,-0.035006468790429957,-0.19436426160025264,0.034811175228652715
-0.1,71.0,0.48524068921249675,0.013958493658927386,-0.30796352393759613,-0.0829078527513125
-0.1,72.0,0.34177469601045135,-0.040000000000000036,-0.29662689805221343,0.03713643525391694
